# Combined PARSEC isochrone (>= 0.09 Msun) and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Note that W146 mag for M <= 0.08 Msun is just given by (J + 0.021)
#       Mini     MPD      Rad   MJ_2M   MH_2M   MK_2M   MZ087   MW146   MF213
0.8541229367  0.8400   28.877  -2.853  -3.515  -3.634  -2.100  -3.005  -3.631
0.8541458845  0.8390   30.560  -2.955  -3.627  -3.749  -2.192  -3.111  -3.745
0.8541679978  0.8390   32.393  -3.061  -3.742  -3.866  -2.287  -3.221  -3.863
0.8541921377  0.8370   34.694  -3.184  -3.877  -4.005  -2.398  -3.349  -4.002
0.8542098999  0.8360   36.674  -3.282  -3.984  -4.116  -2.486  -3.451  -4.112
0.8542273641  0.8350   38.829  -3.383  -4.095  -4.230  -2.576  -3.557  -4.227
0.8542461395  0.8340   41.472  -3.501  -4.223  -4.363  -2.681  -3.679  -4.359
0.8542605042  0.8330   43.768  -3.597  -4.329  -4.472  -2.767  -3.779  -4.468
0.8542741537  0.8310   46.233  -3.693  -4.435  -4.582  -2.852  -3.880  -4.578
0.8542892933  0.8290   49.346  -3.807  -4.561  -4.712  -2.953  -4.000  -4.709
0.8543033600  0.8270   52.645  -3.922  -4.686  -4.842  -3.054  -4.119  -4.838
0.8543143272  0.8260   55.521  -4.015  -4.788  -4.949  -3.137  -4.217  -4.945
0.8543260694  0.8230   59.028  -4.123  -4.907  -5.073  -3.231  -4.329  -5.068
0.8543372750  0.8210   62.857  -4.232  -5.028  -5.198  -3.327  -4.444  -5.194
0.8543475270  0.8180   66.874  -4.338  -5.145  -5.321  -3.420  -4.556  -5.316
0.8543571830  0.8150   70.983  -4.443  -5.261  -5.442  -3.513  -4.666  -5.437
0.8543657660  0.8120   75.258  -4.543  -5.371  -5.558  -3.600  -4.772  -5.554
0.8543739915  0.8090   79.828  -4.644  -5.483  -5.675  -3.687  -4.878  -5.671
0.8543815017  0.8050   84.500  -4.741  -5.590  -5.788  -3.771  -4.980  -5.783
0.8543885946  0.8010   89.486  -4.839  -5.698  -5.901  -3.856  -5.083  -5.896
0.8543950319  0.7970   94.505  -4.933  -5.801  -6.009  -3.936  -5.181  -6.004
0.8544008732  0.7930   99.576  -5.022  -5.899  -6.113  -4.012  -5.275  -6.108
0.8544064164  0.7880  104.871  -5.110  -5.996  -6.215  -4.086  -5.368  -6.210
0.8544117212  0.7830  110.371  -5.198  -6.092  -6.316  -4.160  -5.460  -6.311
0.8544167280  0.7770  115.866  -5.281  -6.182  -6.412  -4.230  -5.547  -6.406
0.8544204235  0.7730  119.938  -5.339  -6.246  -6.479  -4.278  -5.608  -6.474
# 0.8544204235  0.7720    8.808  -0.810  -1.244  -1.310  -0.307  -0.881  -1.307
0.8544851542  0.7720    8.992  -0.850  -1.286  -1.352  -0.344  -0.921  -1.350
0.8545498252  0.7720    9.027  -0.859  -1.296  -1.362  -0.353  -0.931  -1.359
