# Combined PARSEC isochrone (>= 0.09 Msun) and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Note that W146 mag for M <= 0.08 Msun is just given by (J + 0.021)
#       Mini     MPD      Rad   MJ_2M   MH_2M   MK_2M   MZ087   MW146   MF213
1.0621294975  1.0580   12.121  -1.067  -1.703  -1.818  -0.347  -1.209  -1.815
1.0622689724  1.0580   12.947  -1.189  -1.833  -1.952  -0.460  -1.334  -1.948
1.0624001026  1.0580   13.834  -1.313  -1.967  -2.088  -0.574  -1.462  -2.084
1.0625183582  1.0580   14.776  -1.435  -2.097  -2.221  -0.687  -1.587  -2.218
1.0626266003  1.0580   15.771  -1.555  -2.226  -2.354  -0.797  -1.711  -2.350
1.0627281666  1.0570   16.860  -1.677  -2.358  -2.488  -0.909  -1.838  -2.485
1.0628180504  1.0570   17.983  -1.794  -2.479  -2.615  -1.015  -1.956  -2.612
1.0629003048  1.0570   19.180  -1.909  -2.599  -2.741  -1.120  -2.073  -2.737
1.0629776716  1.0570   20.481  -2.027  -2.721  -2.869  -1.226  -2.193  -2.865
1.0630460978  1.0560   21.830  -2.140  -2.838  -2.993  -1.328  -2.308  -2.989
1.0631108284  1.0560   23.295  -2.256  -2.958  -3.120  -1.432  -2.425  -3.115
1.0631673336  1.0560   24.777  -2.365  -3.071  -3.239  -1.529  -2.536  -3.234
1.0632213354  1.0550   26.421  -2.477  -3.188  -3.363  -1.629  -2.650  -3.358
1.0632709265  1.0550   28.161  -2.589  -3.304  -3.486  -1.728  -2.764  -3.481
1.0633155107  1.0540   29.947  -2.696  -3.416  -3.606  -1.823  -2.874  -3.600
1.0633573532  1.0540   31.897  -2.808  -3.536  -3.731  -1.922  -2.989  -3.726
1.0633955002  1.0530   33.936  -2.917  -3.654  -3.855  -2.019  -3.103  -3.849
1.0634303093  1.0530   36.062  -3.026  -3.771  -3.977  -2.115  -3.215  -3.971
1.0634630919  1.0520   38.384  -3.136  -3.890  -4.101  -2.212  -3.330  -4.095
1.0634926558  1.0510   40.724  -3.242  -4.005  -4.221  -2.305  -3.440  -4.215
1.0635194778  1.0500   43.247  -3.346  -4.117  -4.339  -2.396  -3.548  -4.333
1.0635451078  1.0490   45.947  -3.452  -4.232  -4.459  -2.488  -3.659  -4.453
1.0635682344  1.0490   48.714  -3.554  -4.343  -4.575  -2.576  -3.765  -4.569
1.0635894537  1.0480   51.613  -3.656  -4.452  -4.691  -2.662  -3.871  -4.684
1.0636096001  1.0460   54.734  -3.759  -4.563  -4.807  -2.748  -3.978  -4.801
1.0636284351  1.0450   58.017  -3.860  -4.673  -4.923  -2.833  -4.083  -4.916
1.0636497736  1.0440   62.324  -3.985  -4.805  -5.063  -2.933  -4.212  -5.056
1.0636692047  1.0420   66.766  -4.106  -4.935  -5.199  -3.029  -4.337  -5.192
1.0636868477  1.0400   71.525  -4.225  -5.062  -5.334  -3.120  -4.460  -5.326
1.0637034178  1.0380   76.569  -4.343  -5.188  -5.468  -3.208  -4.583  -5.460
1.0637185574  1.0360   81.876  -4.459  -5.313  -5.600  -3.290  -4.703  -5.592
1.0637326241  1.0330   87.489  -4.575  -5.435  -5.731  -3.364  -4.821  -5.723
1.0637457371  1.0310   93.639  -4.689  -5.557  -5.861  -3.436  -4.939  -5.852
1.0637577772  1.0280   99.944  -4.802  -5.675  -5.987  -3.494  -5.054  -5.979
1.0637691021  1.0240  106.550  -4.914  -5.792  -6.113  -3.550  -5.168  -6.104
1.0637794733  1.0210  113.594  -5.023  -5.905  -6.236  -3.587  -5.278  -6.226
1.0637891293  1.0170  120.880  -5.130  -6.016  -6.357  -3.616  -5.385  -6.346
1.0637980700  1.0130  128.575  -5.235  -6.125  -6.475  -3.628  -5.490  -6.465
1.0638066530  1.0080  136.664  -5.339  -6.233  -6.594  -3.623  -5.594  -6.582
1.0638146400  1.0030  145.263  -5.439  -6.338  -6.708  -3.618  -5.693  -6.695
1.0638219118  0.9980  153.906  -5.536  -6.438  -6.816  -3.612  -5.788  -6.803
1.0638291836  0.9920  163.063  -5.632  -6.539  -6.927  -3.596  -5.883  -6.912
1.0638349056  0.9860  170.120  -5.703  -6.613  -7.006  -3.587  -5.952  -6.990
# 1.0638349056  0.9870   10.739  -0.951  -1.520  -1.620  -0.294  -1.066  -1.617
1.0639339685  0.9870   10.863  -0.973  -1.543  -1.644  -0.314  -1.088  -1.641
1.0640354156  0.9870   10.923  -0.983  -1.554  -1.654  -0.323  -1.098  -1.652
1.0641368628  0.9870   10.901  -0.982  -1.552  -1.653  -0.323  -1.097  -1.650
