# Combined PARSEC isochrone (>= 0.09 Msun) and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Note that W146 mag for M <= 0.08 Msun is just given by (J + 0.021)
#       Mini     MPD      Rad   MJ_2M   MH_2M   MK_2M   MZ087   MW146   MF213
2.5401785374  2.5400   19.171  -2.204  -2.774  -2.876  -1.542  -2.319  -2.873
2.5404303074  2.5400   20.256  -2.306  -2.884  -2.988  -1.636  -2.424  -2.985
2.5406770706  2.5400   21.427  -2.408  -2.993  -3.100  -1.729  -2.529  -3.097
2.5409200191  2.5410   22.649  -2.509  -3.103  -3.212  -1.822  -2.633  -3.209
2.5411565304  2.5410   23.931  -2.610  -3.212  -3.324  -1.913  -2.738  -3.321
2.5413868427  2.5410   25.285  -2.710  -3.320  -3.434  -2.004  -2.841  -3.431
2.5416152477  2.5410   26.740  -2.811  -3.429  -3.546  -2.096  -2.944  -3.543
2.5418338776  2.5420   28.220  -2.908  -3.530  -3.652  -2.183  -3.043  -3.649
2.5420796871  2.5420   30.023  -3.018  -3.645  -3.772  -2.282  -3.155  -3.769
2.5423238277  2.5420   31.993  -3.129  -3.761  -3.894  -2.381  -3.267  -3.891
2.5425372124  2.5420   33.834  -3.226  -3.863  -4.001  -2.468  -3.367  -3.998
2.5427801609  2.5420   35.839  -3.327  -3.969  -4.113  -2.558  -3.470  -4.109
2.5429129601  2.5430   36.843  -3.376  -4.019  -4.167  -2.601  -3.519  -4.163
2.5431845188  2.5430   34.503  -3.262  -3.900  -4.041  -2.500  -3.403  -4.037
2.5434739590  2.5430   32.244  -3.144  -3.776  -3.910  -2.395  -3.283  -3.907
2.5438065529  2.5430   30.259  -3.032  -3.659  -3.787  -2.295  -3.169  -3.783
2.5441989899  2.5440   28.324  -2.917  -3.538  -3.660  -2.192  -3.051  -3.657
2.5446553230  2.5440   26.379  -2.791  -3.406  -3.522  -2.080  -2.924  -3.519
2.5450892448  2.5450   24.584  -2.664  -3.267  -3.379  -1.964  -2.791  -3.377
2.5454311371  2.5450   23.145  -2.556  -3.151  -3.260  -1.867  -2.680  -3.257
2.5457623005  2.5450   21.815  -2.449  -3.034  -3.141  -1.770  -2.570  -3.138
2.5460939407  2.5460   20.571  -2.343  -2.919  -3.023  -1.674  -2.460  -3.020
2.5464386940  2.5460   19.398  -2.236  -2.803  -2.905  -1.577  -2.350  -2.902
2.5468049049  2.5470   18.304  -2.129  -2.688  -2.787  -1.480  -2.240  -2.784
2.5471985340  2.5470   17.280  -2.024  -2.575  -2.671  -1.384  -2.132  -2.668
2.5476369858  2.5470   16.321  -1.920  -2.462  -2.556  -1.289  -2.025  -2.553
2.5481331348  2.5480   15.426  -1.818  -2.351  -2.443  -1.196  -1.919  -2.441
2.5487179756  2.5480   14.587  -1.717  -2.242  -2.332  -1.104  -1.815  -2.329
2.5495154858  2.5490   13.720  -1.606  -2.121  -2.209  -1.004  -1.701  -2.206
2.5506994724  2.5500   12.810  -1.483  -1.987  -2.072  -0.893  -1.574  -2.069
2.5524871349  2.5520   11.947  -1.361  -1.852  -1.934  -0.784  -1.448  -1.932
2.5559911728  2.5560   11.191  -1.253  -1.729  -1.808  -0.692  -1.335  -1.805
2.5569434166  2.5570   11.093  -1.238  -1.711  -1.789  -0.679  -1.319  -1.787
2.5764932632  2.5760   11.472  -1.309  -1.783  -1.862  -0.749  -1.390  -1.859
2.5999999046  2.6000   11.936  -1.395  -1.869  -1.948  -0.835  -1.476  -1.945
2.6196353436  2.6200   12.361  -1.472  -1.946  -2.025  -0.911  -1.553  -2.023
2.6528196335  2.6530   13.224  -1.612  -2.088  -2.168  -1.049  -1.694  -2.166
2.6826834679  2.6830   14.124  -1.744  -2.225  -2.306  -1.175  -1.827  -2.304
2.6880586147  2.6880   14.314  -1.768  -2.250  -2.332  -1.198  -1.852  -2.329
2.7048897743  2.7050   15.047  -1.858  -2.350  -2.433  -1.279  -1.945  -2.430
2.7205605507  2.7210   16.190  -1.982  -2.489  -2.576  -1.386  -2.075  -2.574
2.7251164913  2.7250   17.024  -2.066  -2.583  -2.673  -1.458  -2.161  -2.670
2.7264883518  2.7270   18.224  -2.180  -2.711  -2.804  -1.557  -2.281  -2.802
2.7269539833  2.7270   19.456  -2.294  -2.838  -2.934  -1.658  -2.399  -2.931
2.7271745205  2.7270   20.718  -2.405  -2.960  -3.059  -1.757  -2.514  -3.056
2.7272639275  2.7270   21.725  -2.488  -3.051  -3.153  -1.831  -2.600  -3.150
2.7272734642  2.7280   21.865  -2.499  -3.063  -3.165  -1.841  -2.612  -3.162
2.7273221016  2.7280   22.869  -2.579  -3.150  -3.254  -1.913  -2.694  -3.252
2.7273795605  2.7280   24.113  -2.675  -3.255  -3.361  -1.999  -2.793  -3.359
2.7275085449  2.7280   25.238  -2.757  -3.345  -3.453  -2.073  -2.879  -3.451
2.7277507782  2.7280   24.618  -2.712  -3.295  -3.402  -2.032  -2.831  -3.399
2.7294385433  2.7300   23.332  -2.616  -3.191  -3.296  -1.946  -2.733  -3.293
2.7308871746  2.7310   24.777  -2.723  -3.308  -3.415  -2.043  -2.844  -3.413
2.7319331169  2.7320   26.641  -2.853  -3.449  -3.561  -2.159  -2.978  -3.558
2.7328152657  2.7330   28.566  -2.977  -3.581  -3.698  -2.270  -3.104  -3.695
2.7335650921  2.7340   30.553  -3.094  -3.704  -3.827  -2.374  -3.224  -3.823
2.7342250347  2.7340   32.859  -3.213  -3.834  -3.965  -2.475  -3.347  -3.961
2.7348093987  2.7350   35.372  -3.331  -3.963  -4.101  -2.576  -3.470  -4.098
2.7353262901  2.7350   37.727  -3.445  -4.083  -4.228  -2.677  -3.586  -4.223
2.7357778549  2.7360   40.463  -3.560  -4.207  -4.360  -2.775  -3.704  -4.355
2.7361755371  2.7360   43.138  -3.670  -4.322  -4.482  -2.872  -3.816  -4.477
2.7365350723  2.7360   45.915  -3.779  -4.437  -4.603  -2.969  -3.928  -4.598
2.7368645668  2.7360   48.950  -3.888  -4.552  -4.725  -3.065  -4.039  -4.720
2.7371697426  2.7360   52.150  -4.000  -4.674  -4.852  -3.165  -4.156  -4.847
2.7374522686  2.7360   55.623  -4.112  -4.796  -4.980  -3.264  -4.273  -4.975
2.7377150059  2.7360   59.327  -4.225  -4.919  -5.108  -3.364  -4.391  -5.103
2.7379598618  2.7360   63.307  -4.339  -5.043  -5.238  -3.464  -4.509  -5.232
2.7381908894  2.7360   67.664  -4.454  -5.168  -5.369  -3.565  -4.629  -5.364
2.7384109497  2.7360   72.353  -4.570  -5.296  -5.503  -3.667  -4.750  -5.497
2.7386243343  2.7360   77.527  -4.690  -5.426  -5.640  -3.771  -4.875  -5.634
2.7388360500  2.7360   83.302  -4.812  -5.560  -5.780  -3.877  -5.003  -5.774
2.7390530109  2.7360   89.692  -4.939  -5.699  -5.927  -3.987  -5.136  -5.921
2.7392826080  2.7350   96.773  -5.071  -5.842  -6.077  -4.100  -5.274  -6.071
2.7395050526  2.7340  103.551  -5.186  -5.967  -6.210  -4.197  -5.394  -6.203
2.7395958900  2.7340  107.116  -5.245  -6.031  -6.277  -4.245  -5.455  -6.270
2.7396631241  2.7340  110.269  -5.295  -6.085  -6.334  -4.287  -5.507  -6.328
2.7397260666  2.7330  114.197  -5.355  -6.150  -6.403  -4.337  -5.570  -6.397
2.7397880554  2.7330  119.469  -5.431  -6.233  -6.491  -4.400  -5.650  -6.484
2.7398478985  2.7330  126.315  -5.529  -6.338  -6.602  -4.477  -5.751  -6.595
2.7399134636  2.7320  134.851  -5.640  -6.459  -6.730  -4.564  -5.867  -6.723
2.7399854660  2.7320  144.562  -5.758  -6.586  -6.864  -4.652  -5.989  -6.857
2.7400677204  2.7300  154.225  -5.869  -6.705  -6.992  -4.733  -6.105  -6.984
2.7401237488  2.7300  159.755  -5.929  -6.770  -7.061  -4.776  -6.167  -7.053
2.7401297092  2.7300  157.708  -5.907  -6.747  -7.036  -4.760  -6.145  -7.028
2.7401373386  2.7300  159.498  -5.926  -6.767  -7.057  -4.774  -6.164  -7.050
2.7401421070  2.7300  162.164  -5.955  -6.797  -7.090  -4.794  -6.194  -7.082
2.7401478291  2.7290  165.141  -5.985  -6.830  -7.124  -4.813  -6.225  -7.117
2.7401547432  2.7290  168.250  -6.017  -6.863  -7.160  -4.832  -6.257  -7.152
2.7401633263  2.7290  171.496  -6.051  -6.899  -7.199  -4.853  -6.292  -7.191
2.7401752472  2.7290  175.289  -6.088  -6.939  -7.242  -4.877  -6.331  -7.234
2.7401943207  2.7290  184.993  -6.179  -7.037  -7.346  -4.934  -6.425  -7.337
2.7402138710  2.7280  160.013  -5.931  -6.772  -7.063  -4.776  -6.169  -7.055
2.7402141094  2.7280  161.122  -5.942  -6.784  -7.076  -4.784  -6.181  -7.068
2.7402143478  2.7280  170.630  -6.038  -6.887  -7.186  -4.842  -6.280  -7.178
2.7402145863  2.7280  171.892  -6.052  -6.902  -7.202  -4.850  -6.294  -7.194
2.7402148247  2.7280  167.940  -6.012  -6.859  -7.156  -4.827  -6.253  -7.148
2.7402150631  2.7280  161.122  -5.943  -6.785  -7.077  -4.785  -6.182  -7.069
2.7402153015  2.7280  160.013  -5.931  -6.772  -7.063  -4.777  -6.169  -7.055
2.7402155399  2.7280  162.763  -5.960  -6.803  -7.096  -4.796  -6.199  -7.088
2.7402157784  2.7280  165.293  -5.986  -6.830  -7.125  -4.812  -6.226  -7.118
2.7402160168  2.7280  163.552  -5.969  -6.813  -7.106  -4.802  -6.208  -7.098
2.7402162552  2.7280  161.382  -5.947  -6.789  -7.081  -4.788  -6.186  -7.073
2.7402174473  2.7280  161.122  -5.944  -6.786  -7.078  -4.787  -6.183  -7.070
2.7402184010  2.7280  160.530  -5.937  -6.778  -7.069  -4.781  -6.175  -7.062
2.7402200699  2.7280  160.604  -5.938  -6.780  -7.071  -4.782  -6.177  -7.064
2.7402217388  2.7280  161.196  -5.944  -6.786  -7.078  -4.786  -6.183  -7.071
2.7402236462  2.7280  161.717  -5.948  -6.791  -7.083  -4.789  -6.187  -7.075
2.7402269840  2.7280  162.127  -5.953  -6.796  -7.088  -4.790  -6.192  -7.081
2.7402355671  2.7280  168.832  -6.022  -6.869  -7.167  -4.833  -6.263  -7.159
2.7402403355  2.7280  173.762  -6.072  -6.922  -7.224  -4.864  -6.314  -7.216
2.7402443886  2.7280  176.952  -6.101  -6.954  -7.257  -4.883  -6.345  -7.249
2.7402501106  2.7280  184.567  -6.174  -7.031  -7.340  -4.928  -6.420  -7.332
2.7402575016  2.7270  196.451  -6.281  -7.144  -7.461  -4.983  -6.529  -7.453
2.7402663231  2.7270  205.095  -6.354  -7.221  -7.544  -5.018  -6.603  -7.535
2.7402791977  2.7260  212.988  -6.420  -7.291  -7.619  -5.050  -6.671  -7.610
2.7402870655  2.7260  213.774  -6.426  -7.297  -7.626  -5.052  -6.677  -7.617
2.7402873039  2.7260  205.473  -6.357  -7.225  -7.548  -5.016  -6.607  -7.540
2.7402875423  2.7260  200.058  -6.310  -7.175  -7.495  -4.991  -6.559  -7.487
2.7402877808  2.7260  208.908  -6.386  -7.255  -7.581  -5.032  -6.636  -7.572
2.7402880192  2.7260  211.961  -6.410  -7.280  -7.608  -5.044  -6.661  -7.599
2.7402882576  2.7260  214.218  -6.428  -7.299  -7.629  -5.053  -6.679  -7.620
2.7402884960  2.7260  208.716  -6.383  -7.252  -7.577  -5.031  -6.633  -7.569
2.7402889729  2.7260  180.865  -6.141  -6.996  -7.302  -4.908  -6.386  -7.294
2.7402892113  2.7260  217.498  -6.453  -7.325  -7.657  -5.054  -6.704  -7.648
2.7402896881  2.7260  224.468  -6.504  -7.379  -7.717  -5.060  -6.756  -7.707
2.7402937412  2.7260  175.896  -6.092  -6.944  -7.247  -4.876  -6.335  -7.239
2.7402963638  2.7260  166.784  -6.000  -6.846  -7.143  -4.819  -6.241  -7.135
2.7402989864  2.7260  163.251  -5.963  -6.807  -7.101  -4.796  -6.203  -7.093
2.7403018475  2.7260  165.179  -5.985  -6.830  -7.125  -4.810  -6.225  -7.117
2.7403054237  2.7250  167.130  -6.006  -6.852  -7.148  -4.823  -6.246  -7.141
2.7403101921  2.7250  176.017  -6.095  -6.947  -7.249  -4.879  -6.338  -7.241
2.7403156757  2.7250  180.117  -6.134  -6.988  -7.294  -4.905  -6.378  -7.286
2.7403228283  2.7250  178.096  -6.115  -6.968  -7.272  -4.892  -6.358  -7.264
2.7403340340  2.7250  191.582  -6.238  -7.099  -7.412  -4.962  -6.485  -7.404
2.7403521538  2.7240  217.348  -6.453  -7.325  -7.656  -5.062  -6.704  -7.647
2.7403795719  2.7220  235.752  -6.591  -7.469  -7.813  -5.096  -6.844  -7.804
2.7403812408  2.7220  235.752  -6.591  -7.469  -7.813  -5.096  -6.844  -7.804
2.7403824329  2.7220  200.750  -6.332  -7.193  -7.511  -5.038  -6.579  -7.502
# 2.7403824329  2.7220  199.368  -6.319  -7.180  -7.497  -5.032  -6.566  -7.488
2.7403843403  2.7220  151.829  -5.854  -6.684  -6.966  -4.739  -6.087  -6.959
2.7403874397  2.7220  129.049  -5.583  -6.388  -6.652  -4.536  -5.803  -6.645
2.7403917313  2.7220  137.707  -5.691  -6.506  -6.777  -4.618  -5.916  -6.770
2.7403976917  2.7210  162.351  -5.969  -6.807  -7.098  -4.818  -6.206  -7.090
2.7404050827  2.7210  193.043  -6.262  -7.120  -7.433  -5.000  -6.508  -7.424
2.7404141426  2.7200  218.200  -6.473  -7.342  -7.672  -5.103  -6.723  -7.663
