# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.450000048 1.45 2.173965486 6028.371389 3.922 2.906 2.244 1.817 1.555 1.512
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.461470842 1.461 2.239508138 5997.910763 3.9 2.869 2.198 1.765 1.497 1.454
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.48227942 1.482 2.366751412 5936.083482 3.858 2.8 2.111 1.666 1.389 1.343
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.5 1.5 2.492026434 5892.505547 3.818 2.727 2.025 1.572 1.287 1.239
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.503200531 1.503 2.515084871 5885.725453 3.811 2.712 2.008 1.553 1.267 1.219
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.506736159 1.506 2.555951713 5912.892727 3.798 2.653 1.958 1.508 1.226 1.18
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.510849595 1.51 2.620309822 5975.854297 3.778 2.545 1.869 1.432 1.162 1.117
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.511828423 1.511 2.668410524 6049.228645 3.762 2.442 1.789 1.365 1.108 1.065
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.512210011 1.512 2.726795979 6116.45803 3.744 2.338 1.705 1.294 1.048 1.007
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.512412787 1.512 2.796099648 6177.318586 3.721 2.233 1.617 1.217 0.981 0.941
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.512440324 1.512 2.801900088 6181.587201 3.72 2.225 1.611 1.212 0.976 0.937
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.512495279 1.512 2.755831404 6154.602374 3.735 2.285 1.663 1.258 1.018 0.978
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.512575865 1.512 2.729308607 6099.580959 3.743 2.351 1.713 1.298 1.049 1.008
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.512739658 1.512 2.802545323 5988.25106 3.72 2.386 1.716 1.281 1.013 0.969
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.513121724 1.513 2.958371056 5845.208404 3.673 2.396 1.682 1.218 0.926 0.877
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.513721704 1.513 3.045458213 5721.369547 3.648 2.448 1.695 1.205 0.891 0.838
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.514430046 1.514 3.090670058 5614.356681 3.636 2.521 1.733 1.22 0.885 0.828
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.515135527 1.515 3.110660718 5519.503334 3.63 2.603 1.784 1.248 0.894 0.833
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.515837789 1.515 3.117831531 5425.003216 3.628 2.696 1.846 1.287 0.913 0.849
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.516537189 1.516 3.132944092 5328.43902 3.624 2.792 1.909 1.325 0.93 0.862
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.51723361 1.517 3.178722711 5232.388711 3.612 2.871 1.954 1.345 0.928 0.856
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.51812458 1.518 3.32317066 5120.354149 3.573 2.906 1.949 1.308 0.865 0.788
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.519010663 1.519 3.563302109 5028.054773 3.513 2.869 1.876 1.207 0.742 0.661
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.519122958 1.519 3.607884657 5019.957034 3.502 2.854 1.857 1.185 0.718 0.637
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.519683838 1.519 3.841073741 4978.517064 3.448 2.771 1.757 1.073 0.595 0.512
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.520243168 1.52 4.111048921 4944.245193 3.389 2.669 1.641 0.946 0.459 0.374
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.520689249 1.52 4.350634955 4918.129953 3.341 2.58 1.542 0.838 0.345 0.259
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.521120548 1.521 4.597827197 4895.533198 3.292 2.489 1.441 0.73 0.231 0.143
thin5 4 thin_disk 9.477121255 0.25 0.025095 1.521539569 1.521 4.859064286 4873.040266 3.244 2.399 1.342 0.623 0.118 0.029
