# Combined PARSEC isochrone (>= 0.55 Msun), Henry & McCarthy 1993, AJ, 106, 773's relation (0.09 Msun <= M <= 0.48 Msun), and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
#       Mini     MPD      Rad    MV_j    MI_c   MJ_2M   MH_2M   MK_2M
1.1652005911  1.0960   39.578  -0.485  -2.116  -3.260  -3.951  -4.164
1.1652191877  1.0950   42.585  -0.511  -2.204  -3.378  -4.083  -4.303
1.1652326584  1.0930   45.098  -0.509  -2.268  -3.469  -4.186  -4.413
1.1652495861  1.0910   48.501  -0.523  -2.356  -3.587  -4.318  -4.553
1.1652652025  1.0890   51.946  -0.532  -2.441  -3.704  -4.444  -4.686
1.1652801037  1.0860   55.521  -0.543  -2.527  -3.818  -4.568  -4.815
1.1652939320  1.0830   59.464  -0.537  -2.611  -3.936  -4.695  -4.949
1.1653044224  1.0800   63.512  -0.517  -2.689  -4.052  -4.818  -5.080
1.1653114557  1.0780   67.539  -0.489  -2.758  -4.157  -4.931  -5.199
1.1653169394  1.0760   72.053  -0.437  -2.822  -4.268  -5.049  -5.325
1.1653219461  1.0740   77.065  -0.380  -2.889  -4.383  -5.173  -5.456
1.1653265953  1.0710   82.767  -0.282  -2.941  -4.504  -5.301  -5.592
1.1653310061  1.0680   88.604  -0.182  -2.990  -4.621  -5.427  -5.726
1.1653351784  1.0650   95.336  -0.035  -3.017  -4.746  -5.557  -5.867
1.1653397083  1.0600  102.744   0.136  -3.038  -4.872  -5.691  -6.011
1.1653441191  1.0550  110.117   0.337  -3.020  -4.989  -5.812  -6.143
1.1653490067  1.0480  118.129   0.568  -2.986  -5.105  -5.934  -6.276
1.1653543711  1.0390  126.986   0.867  -2.907  -5.222  -6.057  -6.412
1.1653574705  1.0330  133.277   1.070  -2.851  -5.302  -6.141  -6.504
1.1653579473  1.0310  135.256   1.115  -2.838  -5.325  -6.166  -6.531
1.1653592587  1.0290  139.365   1.215  -2.808  -5.372  -6.215  -6.584
1.1653593779  1.0280  118.729   0.647  -2.951  -5.108  -5.939  -6.284
1.1653594971  1.0280  120.380   0.697  -2.940  -5.131  -5.963  -6.310
1.1653596163  1.0280  119.993   0.682  -2.943  -5.125  -5.957  -6.303
1.1653597355  1.0280  120.186   0.687  -2.943  -5.128  -5.959  -6.306
1.1653599739  1.0270  119.441   0.660  -2.951  -5.118  -5.949  -6.295
1.1653602123  1.0270  122.646   0.759  -2.927  -5.162  -5.995  -6.345
1.1653605700  1.0260  131.782   1.048  -2.852  -5.281  -6.120  -6.481
1.1653609276  1.0250  143.534   1.317  -2.777  -5.420  -6.266  -6.639
1.1653612852  1.0240  157.237   1.603  -2.673  -5.566  -6.421  -6.809
1.1653618813  1.0220  169.143   1.814  -2.584  -5.680  -6.543  -6.942
1.1653625965  1.0190  181.074   1.884  -2.551  -5.787  -6.656  -7.064
1.1653631926  1.0160  187.739   1.923  -2.529  -5.841  -6.715  -7.127
# 1.1653631926  1.0160  115.333   0.609  -2.940  -5.054  -5.883  -6.225
1.1653633118  1.0160   93.509  -0.003  -2.980  -4.704  -5.516  -5.825
1.1653634310  1.0150   69.049  -0.524  -2.802  -4.204  -4.977  -5.247
1.1653636694  1.0140   72.319  -0.458  -2.836  -4.279  -5.059  -5.334
1.1653639078  1.0130   90.689  -0.049  -2.962  -4.650  -5.460  -5.766
1.1653642654  1.0110  120.852   0.850  -2.863  -5.125  -5.960  -6.310
1.1653646231  1.0100  153.305   1.647  -2.623  -5.511  -6.366  -6.753
1.1653650999  1.0080  178.713   1.921  -2.512  -5.755  -6.625  -7.033
1.1653656960  1.0060  193.578   1.980  -2.492  -5.881  -6.756  -7.174
1.1653662920  1.0030  200.888   2.006  -2.483  -5.937  -6.815  -7.237
1.1653668880  1.0000  205.284   2.027  -2.472  -5.966  -6.847  -7.273
# 1.1653668880  1.0000  141.239   1.510  -2.647  -5.367  -6.216  -6.593
1.1653670073  1.0000  103.527   0.438  -2.899  -4.857  -5.681  -6.010
1.1653671265  0.9990   76.376  -0.270  -2.833  -4.351  -5.145  -5.431
1.1653673649  0.9980   79.920  -0.185  -2.856  -4.425  -5.224  -5.516
1.1653677225  0.9960   99.806   0.340  -2.904  -4.793  -5.615  -5.939
1.1653680801  0.9940  132.299   1.330  -2.690  -5.257  -6.101  -6.469
1.1653685570  0.9920  166.861   1.931  -2.475  -5.631  -6.498  -6.899
1.1653690338  0.9890  193.711   2.032  -2.447  -5.868  -6.745  -7.164
1.1653696299  0.9860  208.956   2.066  -2.447  -5.986  -6.868  -7.298
1.1653703451  0.9830  215.951   2.081  -2.450  -6.036  -6.920  -7.353
1.1653710604  0.9790  219.814   2.092  -2.448  -6.060  -6.946  -7.381
# 1.1653710604  0.9790  152.882   1.824  -2.502  -5.482  -6.343  -6.733
1.1653711796  0.9780  112.087   0.798  -2.808  -4.979  -5.811  -6.156
1.1653714180  0.9770   82.576  -0.074  -2.854  -4.473  -5.278  -5.575
1.1653716564  0.9760   86.408   0.029  -2.866  -4.546  -5.356  -5.660
1.1653718948  0.9740  107.660   0.659  -2.838  -4.911  -5.740  -6.079
1.1653723717  0.9720  142.448   1.653  -2.560  -5.366  -6.219  -6.600
1.1653728485  0.9690  179.331   2.045  -2.403  -5.733  -6.608  -7.021
1.1653733253  0.9650  207.709   2.110  -2.408  -5.964  -6.848  -7.278
1.1653740406  0.9620  224.158   2.133  -2.421  -6.081  -6.968  -7.407
1.1653746367  0.9570  231.662   2.144  -2.432  -6.130  -7.019  -7.459
1.1653754711  0.9530  235.643   2.156  -2.434  -6.154  -7.043  -7.485
# 1.1653754711  0.9520  166.056   2.019  -2.397  -5.603  -6.473  -6.877
1.1653755903  0.9520  121.662   1.230  -2.669  -5.105  -5.946  -6.306
1.1653758287  0.9500   89.383   0.166  -2.851  -4.599  -5.413  -5.724
1.1653760672  0.9480   93.466   0.284  -2.856  -4.671  -5.490  -5.808
1.1653764248  0.9460  116.427   1.075  -2.704  -5.030  -5.867  -6.221
1.1653767824  0.9420  153.410   1.972  -2.405  -5.473  -6.336  -6.731
1.1653772593  0.9390  192.644   2.140  -2.351  -5.832  -6.712  -7.136
1.1653778553  0.9340  223.077   2.186  -2.376  -6.057  -6.945  -7.385
1.1653784513  0.9300  240.190   2.218  -2.404  -6.168  -7.058  -7.505
1.1653791666  0.9240  248.059   2.254  -2.403  -6.214  -7.107  -7.558
1.1653800011  0.9180  251.916   2.280  -2.401  -6.236  -7.128  -7.582
# 1.1653800011  0.9180  180.076   2.144  -2.323  -5.717  -6.593  -7.010
1.1653801203  0.9160  131.933   1.595  -2.534  -5.225  -6.074  -6.448
1.1653803587  0.9140   96.617   0.459  -2.811  -4.719  -5.542  -5.867
1.1653805971  0.9110  101.078   0.617  -2.787  -4.793  -5.619  -5.952
1.1653809547  0.9070  125.706   1.465  -2.564  -5.143  -5.988  -6.356
1.1653814316  0.9020  165.369   2.122  -2.308  -5.575  -6.447  -6.855
