# Combined PARSEC isochrone (>= 0.55 Msun), Henry & McCarthy 1993, AJ, 106, 773's relation (0.09 Msun <= M <= 0.48 Msun), and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
#       Mini     MPD      Rad    MV_j    MI_c   MJ_2M   MH_2M   MK_2M
1.0638146400  1.0030  145.263   0.797  -3.088  -5.462  -6.310  -6.666
1.0638219118  0.9980  153.906   0.972  -3.048  -5.559  -6.410  -6.775
1.0638291836  0.9920  163.063   1.169  -2.994  -5.655  -6.511  -6.885
1.0638349056  0.9860  170.120   1.284  -2.959  -5.726  -6.585  -6.964
# 1.0638349056  0.9870   10.739   0.964  -0.154  -0.960  -1.490  -1.600
1.0639338493  0.9870   10.863   0.948  -0.174  -0.982  -1.513  -1.623
1.0640354156  0.9870   10.923   0.940  -0.183  -0.992  -1.523  -1.634
1.0641368628  0.9870   10.901   0.939  -0.183  -0.991  -1.522  -1.632
1.0642389059  0.9870   10.856   0.941  -0.178  -0.985  -1.514  -1.624
1.0643448830  0.9870   10.806   0.945  -0.172  -0.976  -1.504  -1.614
1.0644468069  0.9880   10.739   0.948  -0.166  -0.968  -1.494  -1.604
1.0645539761  0.9880   10.677   0.951  -0.159  -0.959  -1.484  -1.593
1.0646570921  0.9880   10.616   0.955  -0.153  -0.951  -1.474  -1.583
1.0647580624  0.9880   10.572   0.958  -0.147  -0.943  -1.466  -1.574
1.0648682117  0.9880   10.528   0.961  -0.142  -0.936  -1.458  -1.566
1.0649781227  0.9880   10.485   0.963  -0.137  -0.930  -1.451  -1.559
1.0650887489  0.9880   10.441   0.965  -0.134  -0.925  -1.444  -1.552
1.0651961565  0.9890   10.415   0.967  -0.130  -0.921  -1.439  -1.547
1.0652445555  0.9890   10.410   0.967  -0.129  -0.919  -1.437  -1.545
1.0652778149  0.9890   10.393   0.968  -0.128  -0.918  -1.436  -1.543
1.0653808117  0.9890   10.367   0.968  -0.126  -0.915  -1.432  -1.539
1.0654810667  0.9890   10.358   0.969  -0.125  -0.913  -1.429  -1.536
1.0655770302  0.9890   10.341   0.969  -0.124  -0.911  -1.427  -1.535
1.0656802654  0.9890   10.336   0.968  -0.124  -0.911  -1.426  -1.534
1.0657778978  0.9890   10.343   0.967  -0.125  -0.911  -1.427  -1.534
1.0658780336  0.9890   10.343   0.965  -0.127  -0.913  -1.428  -1.535
1.0659761429  0.9890   10.355   0.962  -0.129  -0.916  -1.431  -1.538
1.0659830570  0.9890   10.355   0.962  -0.129  -0.916  -1.431  -1.538
1.0660257339  0.9900   10.367   0.961  -0.131  -0.918  -1.433  -1.540
1.0661305189  0.9900   10.396   0.957  -0.136  -0.923  -1.439  -1.546
1.0662339926  0.9900   10.441   0.952  -0.142  -0.930  -1.446  -1.553
1.0663372278  0.9900   10.492   0.945  -0.149  -0.938  -1.455  -1.563
