# Combined PARSEC isochrone (>= 0.55 Msun), Henry & McCarthy 1993, AJ, 106, 773's relation (0.09 Msun <= M <= 0.48 Msun), and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
#       Mini     MPD      Rad    MV_j    MI_c   MJ_2M   MH_2M   MK_2M
1.0466368198  1.0430    9.962   1.257   0.101  -0.733  -1.296  -1.408
1.0467267036  1.0430   10.073   1.238   0.079  -0.756  -1.320  -1.433
1.0469074249  1.0430    9.695   1.291   0.142  -0.687  -1.245  -1.357
1.0470350981  1.0430    9.144   1.376   0.242  -0.575  -1.126  -1.236
1.0470564365  1.0430    9.069   1.387   0.255  -0.561  -1.111  -1.221
1.0470861197  1.0430    9.170   1.371   0.237  -0.581  -1.132  -1.243
1.0472646952  1.0430    9.774   1.274   0.126  -0.703  -1.261  -1.373
1.0474433899  1.0430   10.429   1.176   0.013  -0.826  -1.391  -1.505
1.0476146936  1.0430   11.134   1.080  -0.101  -0.950  -1.524  -1.639
1.0477735996  1.0430   11.900   0.983  -0.214  -1.074  -1.656  -1.773
1.0479160547  1.0430   12.696   0.890  -0.324  -1.195  -1.785  -1.903
1.0480506420  1.0430   13.566   0.797  -0.435  -1.318  -1.917  -2.037
1.0481719971  1.0430   14.473   0.707  -0.544  -1.438  -2.046  -2.167
1.0482832193  1.0430   15.423   0.618  -0.651  -1.558  -2.174  -2.297
1.0483865738  1.0430   16.461   0.529  -0.759  -1.678  -2.302  -2.428
1.0484800339  1.0430   17.549   0.443  -0.863  -1.794  -2.425  -2.554
1.0485668182  1.0420   18.718   0.355  -0.967  -1.910  -2.546  -2.679
1.0486446619  1.0420   19.932   0.269  -1.067  -2.025  -2.664  -2.802
1.0487169027  1.0420   21.235   0.184  -1.168  -2.139  -2.782  -2.925
1.0487833023  1.0410   22.623   0.101  -1.267  -2.251  -2.899  -3.048
1.0488438606  1.0410   24.074   0.019  -1.365  -2.364  -3.016  -3.170
1.0489006042  1.0410   25.648  -0.064  -1.462  -2.476  -3.133  -3.292
1.0489512682  1.0400   27.274  -0.140  -1.556  -2.583  -3.246  -3.411
1.0489990711  1.0400   29.024  -0.218  -1.650  -2.694  -3.360  -3.533
1.0490434170  1.0390   30.900  -0.293  -1.746  -2.804  -3.478  -3.656
1.0490833521  1.0390   32.859  -0.358  -1.839  -2.913  -3.595  -3.778
1.0491207838  1.0380   34.959  -0.423  -1.933  -3.023  -3.714  -3.901
1.0491549969  1.0370   37.133  -0.487  -2.026  -3.131  -3.831  -4.023
1.0491864681  1.0360   39.460  -0.543  -2.116  -3.238  -3.947  -4.143
1.0492156744  1.0360   41.933  -0.600  -2.207  -3.346  -4.062  -4.263
1.0492423773  1.0350   44.510  -0.653  -2.294  -3.450  -4.175  -4.381
1.0492672920  1.0340   47.267  -0.699  -2.380  -3.555  -4.288  -4.499
1.0492905378  1.0330   50.114  -0.745  -2.466  -3.659  -4.401  -4.617
1.0493119955  1.0310   53.156  -0.787  -2.550  -3.760  -4.512  -4.733
1.0493363142  1.0300   57.142  -0.819  -2.649  -3.887  -4.647  -4.875
1.0493587255  1.0280   61.356  -0.847  -2.746  -4.010  -4.781  -5.016
1.0493793488  1.0260   65.880  -0.865  -2.841  -4.135  -4.914  -5.156
1.0493983030  1.0240   70.657  -0.869  -2.932  -4.258  -5.046  -5.294
1.0494158268  1.0220   75.780  -0.871  -3.021  -4.380  -5.176  -5.431
1.0494319201  1.0200   81.256  -0.841  -3.100  -4.500  -5.305  -5.567
1.0494465828  1.0170   86.927  -0.807  -3.175  -4.616  -5.430  -5.699
1.0494601727  1.0140   92.951  -0.752  -3.241  -4.731  -5.552  -5.829
1.0494729280  1.0110   99.324  -0.680  -3.303  -4.847  -5.675  -5.959
1.0494847298  1.0070  106.012  -0.591  -3.356  -4.961  -5.795  -6.087
1.0494958162  1.0030  113.385  -0.480  -3.397  -5.075  -5.915  -6.215
1.0495059490  0.9990  120.936  -0.359  -3.430  -5.187  -6.031  -6.340
1.0495154858  0.9940  128.841  -0.207  -3.440  -5.296  -6.144  -6.462
1.0495245457  0.9890  137.327  -0.043  -3.446  -5.404  -6.257  -6.584
1.0495328903  0.9830  146.068   0.163  -3.416  -5.508  -6.364  -6.701
1.0495409966  0.9760  155.008   0.368  -3.385  -5.609  -6.470  -6.815
1.0495456457  0.9720  160.124   0.467  -3.369  -5.663  -6.525  -6.875
# 1.0495456457  0.9730   10.572   0.884  -0.190  -0.968  -1.483  -1.586
1.0496461391  0.9730   10.712   0.866  -0.211  -0.991  -1.508  -1.611
1.0497474670  0.9730   10.771   0.857  -0.220  -1.001  -1.518  -1.622
1.0498486757  0.9730   10.761   0.856  -0.221  -1.001  -1.518  -1.622
1.0499536991  0.9730   10.717   0.857  -0.217  -0.996  -1.512  -1.615
1.0500580072  0.9730   10.672   0.860  -0.212  -0.989  -1.503  -1.606
