# Combined PARSEC isochrone (>= 0.55 Msun), Henry & McCarthy 1993, AJ, 106, 773's relation (0.09 Msun <= M <= 0.48 Msun), and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
#       Mini     MPD      Rad    MV_j    MI_c   MJ_2M   MH_2M   MK_2M
0.8541458845  0.8390   30.560  -0.778  -2.029  -2.967  -3.597  -3.725
0.8541679978  0.8390   32.393  -0.851  -2.121  -3.072  -3.711  -3.842
0.8541921377  0.8370   34.694  -0.936  -2.229  -3.197  -3.846  -3.980
0.8542098999  0.8360   36.674  -1.001  -2.315  -3.295  -3.953  -4.090
0.8542273641  0.8350   38.829  -1.067  -2.402  -3.397  -4.064  -4.204
0.8542461395  0.8340   41.472  -1.145  -2.505  -3.514  -4.193  -4.336
0.8542605042  0.8330   43.768  -1.206  -2.587  -3.610  -4.298  -4.444
0.8542741537  0.8310   46.233  -1.266  -2.670  -3.707  -4.404  -4.554
0.8542892933  0.8290   49.346  -1.336  -2.768  -3.822  -4.531  -4.684
0.8543033600  0.8270   52.645  -1.403  -2.866  -3.937  -4.656  -4.813
0.8543143272  0.8260   55.521  -1.457  -2.945  -4.030  -4.758  -4.919
0.8543260694  0.8230   59.028  -1.517  -3.036  -4.138  -4.877  -5.042
0.8543372750  0.8210   62.857  -1.576  -3.128  -4.248  -4.997  -5.167
0.8543475270  0.8180   66.874  -1.633  -3.218  -4.354  -5.114  -5.289
0.8543571830  0.8150   70.983  -1.688  -3.306  -4.461  -5.230  -5.410
0.8543657660  0.8120   75.258  -1.737  -3.390  -4.561  -5.341  -5.525
0.8543739915  0.8090   79.828  -1.784  -3.473  -4.663  -5.453  -5.642
0.8543815017  0.8050   84.500  -1.828  -3.553  -4.760  -5.560  -5.754
0.8543885946  0.8010   89.486  -1.865  -3.633  -4.857  -5.667  -5.866
0.8543950319  0.7970   94.505  -1.896  -3.709  -4.952  -5.770  -5.975
0.8544008732  0.7930   99.576  -1.923  -3.780  -5.042  -5.868  -6.078
0.8544064164  0.7880  104.871  -1.948  -3.850  -5.131  -5.965  -6.180
0.8544117212  0.7830  110.371  -1.964  -3.918  -5.219  -6.061  -6.281
