# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.111534476 1.109 5.0170987 4689.213428 3.08 0.671 0.115 0.015 1.315 0.56 0.018
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.112054467 1.11 5.378394385 4666.593803 3.02 0.534 -0.028 -0.129 1.186 0.422 -0.126
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.112506866 1.11 5.75244725 4644.083289 2.961 0.404 -0.165 -0.268 1.062 0.288 -0.265
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.112937212 1.111 6.165277725 4619.553488 2.901 0.267 -0.308 -0.414 0.933 0.15 -0.41
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.113314033 1.111 6.610779092 4594.0953 2.841 0.135 -0.448 -0.555 0.808 0.015 -0.551
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.113646865 1.111 7.060779429 4569.829533 2.784 0.008 -0.582 -0.691 0.688 -0.115 -0.688
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.113966227 1.111 7.565761469 4543.599049 2.723 -0.124 -0.722 -0.833 0.564 -0.251 -0.83
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.11425209 1.112 8.088214213 4517.519127 2.666 -0.251 -0.856 -0.97 0.446 -0.38 -0.966
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.114528775 1.112 8.636795664 4491.588901 2.609 -0.374 -0.987 -1.103 0.33 -0.507 -1.1
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.114897966 1.112 9.207731461 4466.835922 2.553 -0.496 -1.116 -1.234 0.216 -0.631 -1.231
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.114948749 1.112 9.258756122 4464.779341 2.548 -0.507 -1.129 -1.247 0.205 -0.643 -1.243
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.115218043 1.112 8.694660821 4494.692653 2.603 -0.391 -1.003 -1.119 0.312 -0.523 -1.115
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.115336299 1.112 8.312901697 4515.439211 2.642 -0.309 -0.915 -1.029 0.388 -0.438 -1.025
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.115418911 1.112 8.539897239 4504.016782 2.619 -0.36 -0.969 -1.084 0.341 -0.491 -1.08
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.115647078 1.112 9.148557981 4476.102262 2.559 -0.489 -1.107 -1.224 0.22 -0.624 -1.221
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.115869403 1.113 9.805113942 4447.336594 2.498 -0.619 -1.245 -1.366 0.099 -0.757 -1.362
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.116074324 1.113 10.50878834 4418.755788 2.439 -0.748 -1.382 -1.506 -0.021 -0.889 -1.502
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.116257548 1.113 11.23705858 4390.358656 2.381 -0.873 -1.515 -1.641 -0.137 -1.017 -1.638
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.116430163 1.113 12.03518152 4361.139714 2.321 -1.001 -1.651 -1.781 -0.255 -1.149 -1.777
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.116584539 1.113 12.86034575 4332.115231 2.263 -1.126 -1.783 -1.917 -0.37 -1.277 -1.913
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.116726756 1.113 13.75791573 4303.283913 2.205 -1.251 -1.916 -2.053 -0.485 -1.405 -2.049
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.116855025 1.113 14.70796693 4273.660315 2.147 -1.373 -2.046 -2.187 -0.598 -1.53 -2.183
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.116973519 1.113 15.69830074 4245.218029 2.089 -1.495 -2.176 -2.321 -0.71 -1.656 -2.317
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.117082238 1.112 16.79007534 4215.023497 2.031 -1.617 -2.307 -2.456 -0.823 -1.782 -2.452
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.117179036 1.112 17.92885871 4186.00748 1.974 -1.735 -2.431 -2.584 -0.93 -1.903 -2.58
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.117268681 1.112 19.15369841 4156.234088 1.917 -1.854 -2.551 -2.713 -1.037 -2.022 -2.708
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.117349744 1.112 20.43867062 4126.672463 1.861 -1.97 -2.67 -2.839 -1.141 -2.139 -2.834
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.117424965 1.112 21.81989442 4096.377764 1.804 -2.088 -2.79 -2.967 -1.245 -2.258 -2.962
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.117493033 1.112 23.29445987 4066.305463 1.747 -2.203 -2.908 -3.093 -1.347 -2.374 -3.087
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.117554903 1.111 24.80005505 4037.383465 1.692 -2.316 -3.025 -3.217 -1.447 -2.489 -3.211
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.117612004 1.111 26.44555251 4007.744253 1.636 -2.428 -3.141 -3.341 -1.545 -2.603 -3.335
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.117665172 1.111 28.21321931 3977.406691 1.58 -2.542 -3.258 -3.466 -1.644 -2.718 -3.459
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.117712498 1.11 30.01598812 3948.20778 1.526 -2.651 -3.371 -3.587 -1.738 -2.829 -3.58
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.117756486 1.11 31.9486598 3918.320894 1.471 -2.762 -3.488 -3.71 -1.834 -2.943 -3.704
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.117797732 1.109 34.06062751 3887.764949 1.416 -2.875 -3.609 -3.837 -1.934 -3.06 -3.83
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.117833734 1.109 36.17034447 3858.335599 1.364 -2.982 -3.723 -3.956 -2.025 -3.17 -3.95
thin7 6 thin_disk 9.937318452 0.25 0.025095 1.117868066 1.108 38.45498487 3829.129021 1.31 -3.091 -3.84 -4.079 -2.119 -3.283 -4.072
