# Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
5.038089275 5.037 7.026719946 13158.30655 3.444 -2.18 -2.081 -1.978 -1.91 -1.882
5.045286655 5.044 6.992824758 13258.67118 3.449 -2.184 -2.082 -1.977 -1.908 -1.88
5.062100887 5.061 6.850979135 13573.75481 3.468 -2.184 -2.077 -1.964 -1.892 -1.863
5.066700458 5.066 6.63517902 13912.33415 3.496 -2.161 -2.047 -1.926 -1.852 -1.82
5.068764687 5.068 6.432097883 14252.79373 3.524 -2.137 -2.017 -1.888 -1.811 -1.778
5.069877625 5.069 6.24385264 14608.3108 3.549 -2.118 -1.992 -1.855 -1.776 -1.741
5.070497513 5.07 6.105941581 14917.6358 3.569 -2.108 -1.976 -1.833 -1.752 -1.716
5.070843697 5.07 6.027714096 15100.80154 3.58 -2.101 -1.966 -1.82 -1.737 -1.7
5.071023941 5.07 6.0304906 14941.69957 3.579 -2.084 -1.952 -1.808 -1.727 -1.691
5.071184635 5.071 6.105941581 14662.22906 3.569 -2.076 -1.948 -1.811 -1.731 -1.697
5.071330547 5.071 6.268341442 14354.89433 3.546 -2.094 -1.972 -1.841 -1.763 -1.73
5.071509838 5.071 6.580405321 13970.11561 3.504 -2.15 -2.035 -1.912 -1.837 -1.806
5.071698666 5.071 6.997656899 13601.91323 3.45 -2.235 -2.127 -2.014 -1.942 -1.912
5.071903229 5.071 7.499851164 13237.31794 3.391 -2.333 -2.233 -2.128 -2.059 -2.031
5.072118759 5.071 8.019598849 12882.49552 3.332 -2.428 -2.336 -2.24 -2.174 -2.148
5.072342873 5.072 8.545798429 12537.18401 3.276 -2.515 -2.43 -2.344 -2.281 -2.257
5.072570801 5.072 9.089764778 12198.31938 3.223 -2.593 -2.516 -2.44 -2.381 -2.358
5.072800159 5.072 9.646119656 11868.61385 3.172 -2.666 -2.597 -2.531 -2.475 -2.455
5.073029518 5.072 10.21298384 11547.81985 3.122 -2.733 -2.672 -2.617 -2.565 -2.546
5.073255539 5.073 10.79326015 11233.1097 3.074 -2.796 -2.742 -2.7 -2.651 -2.634
5.073477268 5.073 11.4065063 10926.97627 3.026 -2.855 -2.809 -2.779 -2.734 -2.719
5.073691845 5.073 12.0407252 10629.18583 2.98 -2.911 -2.873 -2.856 -2.814 -2.802
5.073899269 5.073 12.69558288 10339.51101 2.934 -2.962 -2.934 -2.93 -2.893 -2.883
5.07409811 5.073 13.37065383 10057.73063 2.888 -3.011 -2.992 -3.002 -2.969 -2.963
5.074288845 5.074 14.07189691 9781.377043 2.844 -3.056 -3.047 -3.072 -3.044 -3.041
5.074470043 5.074 14.80309904 9514.807364 2.8 -3.098 -3.1 -3.141 -3.118 -3.119
5.074643135 5.074 15.57946877 9253.371535 2.756 -3.136 -3.151 -3.209 -3.191 -3.195
5.074807644 5.074 16.35131348 9001.191471 2.713 -3.17 -3.2 -3.275 -3.263 -3.271
5.074963093 5.074 17.18908047 8753.868129 2.67 -3.199 -3.247 -3.34 -3.334 -3.346
5.075111389 5.075 18.04897922 8513.340425 2.628 -3.222 -3.29 -3.403 -3.405 -3.42
5.075251102 5.075 18.95189514 8279.421637 2.586 -3.235 -3.33 -3.463 -3.475 -3.493
5.075383186 5.075 19.88623855 8050.076361 2.544 -3.24 -3.367 -3.522 -3.546 -3.567
5.075508118 5.075 20.8570386 7828.886556 2.502 -3.239 -3.4 -3.578 -3.616 -3.64
5.075626373 5.075 21.87523085 7613.774325 2.461 -3.229 -3.432 -3.634 -3.687 -3.713
5.075737476 5.075 22.95369702 7402.867905 2.419 -3.215 -3.462 -3.688 -3.759 -3.787
5.075842857 5.075 24.04654273 7199.461274 2.379 -3.196 -3.491 -3.742 -3.832 -3.862
5.075942516 5.075 25.20302353 7000.031591 2.338 -3.171 -3.517 -3.793 -3.904 -3.936
5.07603693 5.075 26.40296165 6807.693587 2.297 -3.142 -3.539 -3.842 -3.975 -4.01
5.076126576 5.076 27.67277072 6619.116119 2.256 -3.109 -3.557 -3.888 -4.046 -4.083
5.076210976 5.076 29.00364928 6435.762368 2.216 -3.074 -3.574 -3.933 -4.116 -4.155
5.076291561 5.076 30.36355688 6257.487634 2.176 -3.035 -3.587 -3.976 -4.185 -4.228
5.076367855 5.076 31.80919254 6085.552312 2.136 -2.992 -3.598 -4.017 -4.253 -4.3
5.076440334 5.076 33.28531297 5918.341211 2.096 -2.945 -3.606 -4.058 -4.323 -4.373
5.076509953 5.076 34.82993347 5755.724525 2.057 -2.894 -3.61 -4.095 -4.39 -4.445
5.076576233 5.076 36.39591523 5601.444019 2.019 -2.839 -3.606 -4.124 -4.451 -4.51
5.076642036 5.076 37.90117245 5457.578611 1.983 -2.78 -3.596 -4.149 -4.505 -4.569
5.076711178 5.076 39.40511913 5318.632708 1.95 -2.714 -3.578 -4.167 -4.554 -4.622
5.076787949 5.076 40.69608623 5191.585371 1.921 -2.641 -3.551 -4.175 -4.591 -4.665
5.076885223 5.076 41.75924565 5072.242399 1.899 -2.554 -3.509 -4.167 -4.612 -4.691
5.076997757 5.076 42.39871016 4970.499106 1.886 -2.458 -3.452 -4.142 -4.613 -4.698
5.077123165 5.077 42.92918512 4871.918336 1.875 -2.355 -3.388 -4.111 -4.607 -4.698
5.077260017 5.077 43.66692848 4775.292737 1.86 -2.264 -3.332 -4.087 -4.601 -4.701
5.077356815 5.077 44.58129142 4709.773264 1.842 -2.216 -3.312 -4.09 -4.619 -4.725
5.077455044 5.077 46.52138598 4645.152752 1.806 -2.21 -3.336 -4.137 -4.681 -4.794
5.077587604 5.077 50.14788772 4557.220056 1.741 -2.239 -3.405 -4.24 -4.803 -4.926
5.077695847 5.077 54.13182197 4488.487293 1.674 -2.297 -3.496 -4.357 -4.936 -5.068
5.077784061 5.077 57.77668829 4438.129803 1.617 -2.355 -3.579 -4.461 -5.049 -5.189
5.077872753 5.077 61.32713055 4395.416154 1.565 -2.413 -3.657 -4.558 -5.154 -5.301
5.077991486 5.077 65.56206814 4350.107606 1.508 -2.481 -3.746 -4.666 -5.271 -5.426
5.0780406 5.077 66.84249386 4338.104405 1.491 -2.499 -3.772 -4.697 -5.305 -5.462
5.078149319 5.078 69.31905681 4314.197273 1.459 -2.535 -3.824 -4.76 -5.375 -5.535
5.078178883 5.078 69.87995954 4309.233228 1.453 -2.541 -3.834 -4.772 -5.388 -5.549
5.078530312 5.078 74.79156913 4264.813065 1.393 -2.607 -3.93 -4.888 -5.517 -5.684
5.07896328 5.078 80.19598849 4221.822791 1.332 -2.671 -4.027 -5.005 -5.647 -5.82
5.079402447 5.079 85.63526477 4183.116887 1.275 -2.736 -4.121 -5.117 -5.771 -5.949
5.079879284 5.079 91.75983941 4144.76584 1.216 -2.803 -4.221 -5.235 -5.9 -6.085
5.080355167 5.08 98.07371913 4109.604233 1.158 -2.871 -4.319 -5.351 -6.027 -6.217
5.080831051 5.08 104.7737878 4075.679266 1.101 -2.94 -4.418 -5.466 -6.152 -6.348
5.081279755 5.081 110.9053878 4046.690595 1.051 -2.996 -4.502 -5.566 -6.261 -6.463
5.081952095 5.081 116.6413788 4021.610443 1.008 -3.044 -4.576 -5.653 -6.355 -6.562
5.08301878 5.082 119.9092385 4007.744253 0.983 -3.072 -4.618 -5.703 -6.409 -6.618
5.085279942 5.085 118.1279439 4016.983057 0.997 -3.06 -4.596 -5.676 -6.38 -6.587
5.092459202 5.092 111.2891037 4051.352202 1.05 -3.012 -4.514 -5.576 -6.268 -6.469
5.096884251 5.096 105.9138231 4079.434834 1.092 -2.971 -4.446 -5.493 -6.178 -6.374
5.100474358 5.1 100.682188 4107.712126 1.137 -2.924 -4.374 -5.407 -6.082 -6.273
5.103892803 5.103 95.35701437 4139.043588 1.185 -2.873 -4.296 -5.314 -5.98 -6.166
5.107273579 5.107 90.06429314 4171.574461 1.234 -2.821 -4.216 -5.217 -5.874 -6.054
5.110626221 5.11 85.16333201 4204.361011 1.283 -2.765 -4.135 -5.121 -5.768 -5.944
5.114607334 5.114 79.97470464 4242.286549 1.339 -2.705 -4.045 -5.014 -5.649 -5.819
5.12024641 5.12 73.91841482 4292.39816 1.407 -2.632 -3.937 -4.882 -5.503 -5.666
5.126337528 5.126 69.12778555 4340.102636 1.466 -2.577 -3.849 -4.774 -5.38 -5.537
5.137061119 5.137 63.8487861 4410.623631 1.535 -2.529 -3.761 -4.656 -5.244 -5.391
5.146041393 5.146 61.44020341 4462.723708 1.57 -2.535 -3.739 -4.612 -5.187 -5.327
5.153747559 5.153 61.03130338 4526.890609 1.577 -2.626 -3.797 -4.643 -5.2 -5.333
5.159693241 5.159 60.93301178 4596.211447 1.579 -2.735 -3.87 -4.69 -5.226 -5.353
5.16298008 5.163 60.89093528 4675.197909 1.579 -2.848 -3.957 -4.747 -5.27 -5.386
5.164834023 5.165 60.52748724 4748.976276 1.584 -2.936 -4.021 -4.785 -5.296 -5.402
5.166514873 5.166 59.64206131 4839.494493 1.597 -3.025 -4.081 -4.814 -5.31 -5.406
5.167716503 5.167 58.15039175 4940.831009 1.62 -3.105 -4.119 -4.817 -5.288 -5.377
5.168682575 5.168 56.38357967 5046.612976 1.647 -3.173 -4.145 -4.81 -5.255 -5.337
5.169579506 5.169 54.41926162 5160.597647 1.678 -3.234 -4.164 -4.794 -5.211 -5.288
5.170462131 5.17 52.40257701 5277.156818 1.71 -3.29 -4.176 -4.773 -5.163 -5.235
5.171418667 5.171 50.44900961 5400.077591 1.743 -3.343 -4.184 -4.749 -5.111 -5.179
5.172534943 5.172 48.44541101 5529.680005 1.778 -3.393 -4.187 -4.721 -5.056 -5.119
5.173826694 5.174 46.6930932 5651.971978 1.811 -3.435 -4.187 -4.693 -5.003 -5.062
5.175806045 5.176 44.98343802 5778.298856 1.843 -3.475 -4.185 -4.664 -4.95 -5.005
5.179331303 5.179 43.52638958 5897.935245 1.872 -3.514 -4.181 -4.636 -4.9 -4.953
5.184777737 5.185 44.5607657 5835.794629 1.852 -3.509 -4.198 -4.666 -4.941 -4.995
5.196129322 5.196 46.51067526 5738.521327 1.815 -3.511 -4.234 -4.722 -5.015 -5.072
5.199999809 5.2 46.89781886 5727.96031 1.809 -3.518 -4.245 -4.734 -5.03 -5.087
5.223658085 5.224 49.16461525 5662.39289 1.77 -3.558 -4.307 -4.811 -5.118 -5.177
5.234942913 5.235 51.10373529 5579.560615 1.737 -3.56 -4.338 -4.859 -5.183 -5.244
5.241671085 5.242 53.08265601 5484.032249 1.705 -3.544 -4.357 -4.901 -5.243 -5.308
5.249619961 5.25 56.17623706 5337.034375 1.657 -3.508 -4.373 -4.954 -5.329 -5.399
5.254582405 5.255 58.64792415 5220.354551 1.619 -3.469 -4.379 -4.991 -5.393 -5.467
5.258965015 5.259 61.32713055 5099.175976 1.581 -3.421 -4.377 -5.025 -5.455 -5.535
5.262526989 5.263 63.76063665 4992.292237 1.548 -3.372 -4.369 -5.05 -5.506 -5.592
5.26587677 5.266 66.13824169 4887.648887 1.516 -3.314 -4.353 -5.069 -5.551 -5.644
5.268548965 5.269 67.95988649 4805.073111 1.492 -3.265 -4.334 -5.078 -5.577 -5.678
5.272244453 5.272 69.78348346 4717.370643 1.47 -3.204 -4.301 -5.076 -5.589 -5.701
5.275989056 5.276 71.21191173 4632.335437 1.452 -3.128 -4.253 -5.06 -5.587 -5.71
5.279405117 5.28 72.36901221 4553.024633 1.438 -3.047 -4.199 -5.037 -5.576 -5.711
5.283113003 5.283 73.40956403 4484.355146 1.427 -2.964 -4.152 -5.017 -5.575 -5.718
5.290296078 5.291 75.97183999 4385.306978 1.398 -2.864 -4.109 -5.016 -5.604 -5.758
5.295797825 5.296 81.4052932 4295.364268 1.338 -2.848 -4.152 -5.098 -5.714 -5.879
5.2970891 5.297 88.17645706 4230.580858 1.269 -2.894 -4.245 -5.219 -5.856 -6.029
5.297222138 5.297 90.20957668 4214.053064 1.249 -2.911 -4.274 -5.256 -5.898 -6.073
5.297350884 5.298 94.00536604 4187.935651 1.213 -2.946 -4.329 -5.324 -5.973 -6.153
5.297791004 5.298 95.90751642 4177.341687 1.196 -2.968 -4.36 -5.359 -6.011 -6.193
5.298637867 5.299 97.10747123 4165.815197 1.185 -2.972 -4.372 -5.377 -6.033 -6.216
5.299034596 5.299 103.3362375 4127.622774 1.131 -3.024 -4.457 -5.481 -6.149 -6.338
5.299409866 5.3 109.9898589 4091.664348 1.077 -3.079 -4.544 -5.586 -6.265 -6.46
5.299870968 5.3 116.9371877 4056.01918 1.023 -3.133 -4.631 -5.69 -6.38 -6.581
5.300431252 5.301 124.3519629 4022.53656 0.97 -3.185 -4.717 -5.795 -6.495 -6.702
5.301093578 5.301 132.4197138 3986.57556 0.916 -3.233 -4.804 -5.901 -6.611 -6.825
5.301856995 5.302 141.0108871 3950.936048 0.861 -3.277 -4.89 -6.007 -6.728 -6.948
5.302715302 5.303 150.1594417 3915.615148 0.806 -3.32 -4.977 -6.114 -6.846 -7.073
5.303621769 5.303 160.1963604 3881.50366 0.75 -3.365 -5.067 -6.225 -6.967 -7.2
5.304480553 5.304 171.2587007 3845.91782 0.692 -3.403 -5.159 -6.34 -7.092 -7.332
5.305231571 5.305 183.1692828 3809.780898 0.634 -3.44 -5.251 -6.454 -7.217 -7.464
5.305891037 5.305 195.9082138 3773.983525 0.576 -3.462 -5.339 -6.568 -7.341 -7.596
5.306492329 5.305 209.2920081 3738.522511 0.518 -3.478 -5.426 -6.682 -7.465 -7.726
5.307051182 5.305 223.6931292 3702.542054 0.46 -3.482 -5.512 -6.797 -7.589 -7.858
5.307572842 5.304 239.470844 3666.063642 0.402 -3.469 -5.594 -6.912 -7.713 -7.99
5.308061123 5.303 255.3598678 3630.780548 0.345 -3.455 -5.674 -7.024 -7.834 -8.118
5.308579922 5.301 273.6230281 3593.353968 0.286 -3.406 -5.746 -7.141 -7.96 -8.251
5.30901289 5.298 292.5853958 3553.85742 0.226 -3.342 -5.813 -7.256 -8.083 -8.383
5.309285164 5.295 314.7405105 3508.326469 0.163 -3.213 -5.861 -7.374 -8.211 -8.522
5.309500694 5.291 337.7167839 3465.77209 0.101 -3.087 -5.908 -7.49 -8.337 -8.659
5.309691906 5.286 362.2035019 3424.522311 0.04 -2.925 -5.932 -7.604 -8.461 -8.794
5.30987215 5.279 388.46567 3383.763489 -0.021 -2.738 -5.945 -7.716 -8.583 -8.93
5.310042381 5.268 415.4824126 3344.259735 -0.08 -2.49 -5.911 -7.818 -8.696 -9.061
5.310205936 5.253 442.9478977 3306.739628 -0.137 -2.215 -5.857 -7.907 -8.798 -9.184
5.310379982 5.228 472.3377373 3267.382661 -0.194 -1.832 -5.734 -7.985 -8.893 -9.307
5.310627937 5.175 493.2335897 3238.172647 -0.236 -1.464 -5.596 -8.017 -8.946 -9.389
5.310761452 5.145 473.0996697 3259.117363 -0.203 -1.729 -5.685 -7.978 -8.89 -9.309
5.31078434 5.14 454.9384513 3281.708485 -0.169 -1.961 -5.758 -7.93 -8.83 -9.231
5.310797691 5.138 432.3671049 3310.548845 -0.125 -2.234 -5.841 -7.865 -8.752 -9.133
5.310807705 5.137 415.29112 3333.496473 -0.091 -2.388 -5.864 -7.806 -8.686 -9.055
5.310825348 5.136 404.624937 3348.112174 -0.069 -2.483 -5.878 -7.768 -8.643 -9.005
5.310842991 5.135 405.2776413 3347.341331 -0.069 -2.481 -5.877 -7.769 -8.644 -9.006
5.310896397 5.129 432.0685395 3309.786651 -0.126 -2.226 -5.836 -7.864 -8.751 -9.132
5.31094265 5.124 451.4946878 3284.732443 -0.164 -1.987 -5.763 -7.919 -8.817 -9.216
5.310968876 5.12 446.0182659 3291.546539 -0.154 -2.05 -5.782 -7.904 -8.8 -9.194
5.310974598 5.12 442.2345252 3296.097122 -0.147 -2.097 -5.797 -7.894 -8.787 -9.177
