# Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
1.138893843 1.134 19.33537702 4264.813065 1.917 -1.951 -2.635 -2.773 -1.169 -2.112 -2.77
1.138992786 1.133 20.62303813 4235.454299 1.861 -2.065 -2.753 -2.898 -1.272 -2.228 -2.894
1.139084101 1.133 21.99645248 4206.297637 1.805 -2.18 -2.872 -3.023 -1.375 -2.345 -3.019
1.13916719 1.133 23.44512998 4176.37993 1.75 -2.292 -2.988 -3.146 -1.476 -2.459 -3.142
1.139243603 1.133 24.96046345 4146.675015 1.695 -2.404 -3.104 -3.269 -1.576 -2.572 -3.264
1.139315009 1.132 26.60434952 4117.18138 1.639 -2.516 -3.221 -3.393 -1.676 -2.687 -3.388
1.139378667 1.132 28.3108328 4088.838903 1.585 -2.624 -3.334 -3.512 -1.772 -2.797 -3.507
1.139439583 1.132 30.15453563 4058.821947 1.53 -2.736 -3.45 -3.636 -1.871 -2.911 -3.63
1.139493585 1.131 32.0665801 4029.953175 1.477 -2.843 -3.564 -3.756 -1.966 -3.021 -3.75
1.139543533 1.131 34.11557102 4000.36851 1.423 -2.952 -3.681 -3.878 -2.062 -3.134 -3.872
1.139590859 1.13 36.29548841 3971.001033 1.369 -3.063 -3.801 -4.003 -2.161 -3.249 -3.997
1.13963294 1.13 38.57026696 3941.849147 1.316 -3.169 -3.916 -4.124 -2.255 -3.36 -4.118
1.139672399 1.129 40.9404531 3912.911271 1.263 -3.276 -4.032 -4.245 -2.349 -3.471 -4.239
1.139708996 1.128 43.52638958 3883.29157 1.21 -3.383 -4.148 -4.366 -2.443 -3.582 -4.36
1.139741421 1.128 46.07365276 3855.671276 1.16 -3.485 -4.257 -4.481 -2.531 -3.688 -4.475
1.139772415 1.127 48.94999422 3825.603887 1.108 -3.588 -4.369 -4.598 -2.62 -3.795 -4.592
1.139801621 1.126 51.92214729 3796.645079 1.056 -3.692 -4.481 -4.716 -2.71 -3.903 -4.71
1.139827609 1.125 54.94809556 3767.905482 1.007 -3.791 -4.588 -4.828 -2.793 -4.006 -4.822
1.139858007 1.124 58.97292173 3732.501578 0.945 -3.915 -4.722 -4.969 -2.897 -4.135 -4.962
1.139885783 1.123 63.24885165 3696.579068 0.883 -4.038 -4.854 -5.108 -2.998 -4.263 -5.101
1.139911175 1.121 67.86606127 3660.159406 0.822 -4.159 -4.983 -5.245 -3.094 -4.388 -5.238
1.139934778 1.12 72.7030524 3624.933135 0.761 -4.279 -5.112 -5.381 -3.188 -4.513 -5.374
1.139956474 1.118 77.83100616 3589.219346 0.701 -4.397 -5.238 -5.515 -3.276 -4.635 -5.507
1.139976025 1.116 83.09074346 3554.67582 0.643 -4.511 -5.36 -5.644 -3.36 -4.752 -5.636
1.139994621 1.114 88.8490206 3519.654225 0.585 -4.626 -5.482 -5.774 -3.436 -4.871 -5.766
1.140011549 1.112 94.78784394 3484.977672 0.528 -4.738 -5.601 -5.901 -3.507 -4.986 -5.893
1.140027165 1.109 101.0072727 3450.642762 0.471 -4.848 -5.717 -6.025 -3.571 -5.098 -6.017
1.140041828 1.106 107.6347843 3416.646128 0.415 -4.958 -5.832 -6.148 -3.626 -5.21 -6.139
1.140055418 1.104 114.5651808 3382.984438 0.36 -5.066 -5.945 -6.27 -3.677 -5.32 -6.261
1.140067935 1.1 121.8015023 3349.654392 0.305 -5.171 -6.054 -6.388 -3.707 -5.425 -6.378
1.140079856 1.097 129.3458934 3316.652722 0.252 -5.274 -6.161 -6.505 -3.734 -5.529 -6.495
1.140090823 1.093 137.3575845 3283.976193 0.199 -5.374 -6.265 -6.619 -3.736 -5.629 -6.608
1.140101075 1.089 145.4630351 3252.370401 0.147 -5.471 -6.367 -6.73 -3.731 -5.726 -6.718
1.14011097 1.085 154.0467871 3221.068791 0.095 -5.567 -6.466 -6.838 -3.728 -5.82 -6.825
1.14012301 1.079 164.6844694 3184.197522 0.034 -5.68 -6.583 -6.965 -3.717 -5.931 -6.95
1.14012301 1.078 10.87308154 4670.893875 2.395 -0.991 -1.556 -1.656 -3.717 -5.931 -6.95
1.140256166 1.078 11.02687991 4662.29769 2.383 -1.016 -1.584 -1.684 -0.36 -1.131 -1.681
1.140392661 1.079 11.10075825 4660.151117 2.378 -1.028 -1.596 -1.696 -0.371 -1.142 -1.694
1.140530467 1.079 11.07777767 4662.29769 2.379 -1.026 -1.594 -1.694 -0.37 -1.141 -1.691
1.140672326 1.079 11.02687991 4667.66845 2.383 -1.021 -1.587 -1.687 -0.366 -1.134 -1.684
1.140813708 1.079 10.9812719 4671.969512 2.387 -1.013 -1.578 -1.677 -0.36 -1.126 -1.674
1.140953064 1.079 10.93081754 4677.351413 2.392 -1.005 -1.569 -1.668 -0.354 -1.118 -1.665
1.141091943 1.079 10.86807545 4682.739514 2.396 -0.998 -1.56 -1.659 -0.347 -1.11 -1.656
1.141235113 1.08 10.82312427 4687.054463 2.4 -0.991 -1.551 -1.65 -0.342 -1.102 -1.647
1.141367436 1.08 10.778359 4691.373388 2.404 -0.984 -1.544 -1.642 -0.337 -1.096 -1.639
1.141501546 1.08 10.73377889 4695.696293 2.407 -0.979 -1.538 -1.635 -0.332 -1.09 -1.633
1.141636133 1.08 10.70662631 4698.941086 2.41 -0.974 -1.532 -1.629 -0.329 -1.085 -1.627
1.141769648 1.08 10.66725421 4702.188121 2.412 -0.97 -1.527 -1.624 -0.325 -1.08 -1.621
1.141902208 1.08 10.64026991 4705.4374 2.415 -0.967 -1.523 -1.62 -0.323 -1.077 -1.617
1.142043471 1.081 10.61824263 4707.604833 2.417 -0.963 -1.518 -1.615 -0.32 -1.073 -1.613
1.142076016 1.081 10.61335387 4708.688923 2.417 -0.963 -1.518 -1.614 -0.32 -1.072 -1.612
1.142215371 1.081 10.59138231 4710.857854 2.419 -0.96 -1.515 -1.611 -0.318 -1.07 -1.609
1.142348647 1.081 10.58163178 4713.027784 2.42 -0.959 -1.512 -1.609 -0.317 -1.068 -1.606
1.142481208 1.081 10.57189022 4715.198713 2.421 -0.958 -1.511 -1.607 -0.316 -1.067 -1.604
1.142620683 1.081 10.56702281 4716.284553 2.421 -0.958 -1.51 -1.607 -0.317 -1.066 -1.604
1.142752647 1.081 10.56215764 4717.370643 2.421 -0.958 -1.511 -1.607 -0.318 -1.067 -1.604
1.142895579 1.082 10.57432477 4717.370643 2.421 -0.96 -1.512 -1.609 -0.32 -1.069 -1.606
1.143031836 1.082 10.58650592 4717.370643 2.42 -0.963 -1.515 -1.612 -0.323 -1.072 -1.609
1.143040538 1.082 10.58650592 4717.370643 2.42 -0.963 -1.516 -1.612 -0.323 -1.072 -1.609
1.143117309 1.082 10.59870111 4717.370643 2.419 -0.965 -1.518 -1.614 -0.325 -1.074 -1.612
1.143253446 1.082 10.6280269 4716.284553 2.416 -0.97 -1.523 -1.62 -0.33 -1.079 -1.617
1.143385887 1.082 10.66234289 4714.113124 2.414 -0.977 -1.53 -1.627 -0.335 -1.086 -1.624
1.143518686 1.082 10.70909188 4711.942694 2.41 -0.985 -1.539 -1.636 -0.343 -1.094 -1.633
1.143654108 1.082 10.77339653 4708.688923 2.405 -0.996 -1.55 -1.647 -0.353 -1.105 -1.645
1.143789649 1.083 10.85557032 4704.354057 2.399 -1.009 -1.564 -1.662 -0.364 -1.118 -1.659
1.143923521 1.083 10.94340935 4698.941086 2.391 -1.023 -1.58 -1.678 -0.377 -1.134 -1.675
1.144058227 1.083 11.04466747 4693.534343 2.383 -1.04 -1.599 -1.697 -0.393 -1.151 -1.694
1.144191146 1.083 11.16998641 4685.975353 2.373 -1.061 -1.621 -1.72 -0.411 -1.172 -1.717
1.144333124 1.083 11.32798447 4677.351413 2.362 -1.084 -1.647 -1.746 -0.432 -1.196 -1.743
1.144465923 1.083 11.30453349 4679.505909 2.363 -1.082 -1.644 -1.743 -0.43 -1.194 -1.741
1.144600272 1.084 11.76393578 4653.717326 2.329 -1.151 -1.721 -1.822 -0.492 -1.266 -1.819
1.144725561 1.084 12.50986563 4615.300681 2.276 -1.261 -1.841 -1.945 -0.59 -1.38 -1.942
1.144786835 1.084 13.29696865 4578.255228 2.223 -1.368 -1.958 -2.065 -0.686 -1.49 -2.062
1.144821048 1.084 14.20210257 4538.371048 2.166 -1.484 -2.086 -2.196 -0.79 -1.611 -2.193
1.14483726 1.084 15.07136698 4502.979813 2.114 -1.59 -2.202 -2.316 -0.885 -1.722 -2.313
1.144845605 1.084 15.9864725 4468.893449 2.063 -1.693 -2.315 -2.432 -0.977 -1.828 -2.429
1.144850612 1.084 16.93763013 4435.06511 2.012 -1.795 -2.428 -2.548 -1.068 -1.935 -2.545
1.14485395 1.084 17.99503289 4400.479478 1.96 -1.9 -2.54 -2.665 -1.162 -2.043 -2.661
1.144855619 1.084 18.73064121 4378.244391 1.925 -1.971 -2.615 -2.743 -1.225 -2.115 -2.74
1.144856334 1.084 19.08765799 4367.169015 1.908 -2.004 -2.649 -2.779 -1.254 -2.148 -2.776
1.14485848 1.084 20.32603387 4333.112852 1.854 -2.112 -2.764 -2.9 -1.35 -2.259 -2.896
1.144860387 1.084 21.35269245 4306.257543 1.811 -2.197 -2.853 -2.995 -1.425 -2.346 -2.991
1.144862175 1.084 22.05731497 4288.446535 1.783 -2.254 -2.913 -3.057 -1.475 -2.404 -3.053
1.144864321 1.084 22.60230051 4275.628862 1.762 -2.296 -2.957 -3.104 -1.513 -2.447 -3.1
1.144869804 1.084 21.8098483 4295.364268 1.793 -2.235 -2.893 -3.036 -1.459 -2.385 -3.032
1.144873738 1.084 21.28397033 4308.241105 1.814 -2.191 -2.847 -2.988 -1.42 -2.34 -2.984
1.144882321 1.084 20.54719984 4327.130569 1.844 -2.131 -2.784 -2.921 -1.367 -2.279 -2.918
1.144900203 1.084 20.42455696 4330.120677 1.85 -2.121 -2.773 -2.909 -1.357 -2.268 -2.906
1.14499557 1.083 20.97261792 4315.190768 1.826 -2.166 -2.821 -2.96 -1.398 -2.314 -2.956
1.145057797 1.082 22.40539707 4279.568675 1.769 -2.281 -2.941 -3.087 -1.499 -2.431 -3.083
1.145110488 1.082 24.02440524 4241.309839 1.708 -2.401 -3.067 -3.221 -1.604 -2.554 -3.217
1.14515543 1.081 25.74854215 4204.361011 1.648 -2.518 -3.191 -3.352 -1.707 -2.674 -3.348
1.145192981 1.08 27.52026711 4168.693835 1.59 -2.631 -3.311 -3.48 -1.807 -2.79 -3.475
1.14522481 1.079 29.3192357 4135.233143 1.534 -2.741 -3.427 -3.603 -1.903 -2.902 -3.598
1.145252585 1.078 31.28618758 4101.096609 1.478 -2.851 -3.545 -3.727 -2 -3.016 -3.722
1.145277023 1.077 33.33133011 4068.178498 1.422 -2.962 -3.666 -3.854 -2.097 -3.132 -3.849
1.145298958 1.075 35.52651808 4034.595502 1.366 -3.072 -3.786 -3.981 -2.195 -3.247 -3.975
1.145319104 1.074 37.86628025 4001.289735 1.31 -3.183 -3.908 -4.108 -2.292 -3.363 -4.102
1.14533782 1.072 40.56510877 3958.220648 1.249 -3.296 -4.034 -4.241 -2.387 -3.482 -4.236
1.145355344 1.07 43.69710295 3904.810837 1.184 -3.411 -4.166 -4.382 -2.479 -3.606 -4.376
1.14536798 1.069 46.14797459 3868.120546 1.136 -3.498 -4.264 -4.487 -2.55 -3.698 -4.481
1.145383954 1.066 49.27795139 3832.657404 1.078 -3.609 -4.386 -4.615 -2.644 -3.815 -4.609
1.145398736 1.064 52.53547277 3798.393902 1.022 -3.718 -4.506 -4.742 -2.737 -3.929 -4.735
1.145412684 1.06 55.96965693 3763.570017 0.965 -3.827 -4.624 -4.866 -2.827 -4.043 -4.86
1.145425677 1.057 59.82085898 3727.348497 0.906 -3.941 -4.748 -4.997 -2.92 -4.161 -4.99
1.145435572 1.054 63.76063665 3692.325673 0.849 -4.052 -4.867 -5.123 -3.008 -4.276 -5.116
1.145442128 1.051 67.66321742 3659.31672 0.796 -4.154 -4.977 -5.24 -3.088 -4.383 -5.233
1.145447373 1.049 72.06968848 3624.098559 0.741 -4.259 -5.091 -5.361 -3.168 -4.492 -5.354
1.145452023 1.046 76.79848359 3588.392993 0.685 -4.367 -5.207 -5.485 -3.245 -4.604 -5.477
1.145456433 1.043 81.87525108 3552.221185 0.627 -4.476 -5.325 -5.61 -3.322 -4.717 -5.602
1.145460486 1.04 87.22734321 3515.604405 0.57 -4.584 -5.441 -5.734 -3.389 -4.829 -5.726
1.14546454 1.036 93.42274952 3476.161938 0.51 -4.698 -5.563 -5.865 -3.457 -4.947 -5.857
1.145468712 1.031 100.1965216 3434.788499 0.447 -4.816 -5.688 -6 -3.514 -5.068 -5.991
1.145472884 1.025 106.9430694 3396.252726 0.388 -4.926 -5.803 -6.125 -3.561 -5.179 -6.116
1.145477533 1.017 114.117604 3356.603167 0.328 -5.035 -5.918 -6.25 -3.586 -5.29 -6.24
1.145482421 1.007 121.0466138 3319.708879 0.273 -5.13 -6.018 -6.36 -3.599 -5.386 -6.35
1.145485401 1.001 129.8531965 3277.932453 0.209 -5.247 -6.14 -6.495 -3.59 -5.503 -6.484
1.145485997 0.999 132.2064503 3267.382661 0.192 -5.276 -6.171 -6.528 -3.585 -5.532 -6.517
1.14548707 0.997 106.2557999 3391.563869 0.381 -4.908 -5.787 -6.109 -3.537 -5.162 -6.1
1.145487189 0.996 105.8163178 3394.689054 0.385 -4.902 -5.78 -6.102 -3.535 -5.156 -6.093
1.145487308 0.996 109.4088983 3375.20379 0.356 -4.958 -5.839 -6.166 -3.552 -5.213 -6.156
1.145487428 0.996 109.3585252 3375.981049 0.356 -4.958 -5.838 -6.165 -3.554 -5.212 -6.156
1.145487547 0.996 113.6717758 3353.513045 0.322 -5.022 -5.906 -6.239 -3.568 -5.278 -6.229
1.145487785 0.995 119.8540309 3322.767852 0.276 -5.111 -5.999 -6.34 -3.587 -5.367 -6.33
1.145488024 0.995 127.3657463 3287.00224 0.223 -5.212 -6.104 -6.456 -3.586 -5.468 -6.445
1.145488381 0.994 135.0680546 3253.119373 0.171 -5.31 -6.207 -6.569 -3.573 -5.565 -6.557
1.14548862 0.993 143.6655517 3216.621793 0.117 -5.411 -6.312 -6.683 -3.561 -5.665 -6.671
1.145489097 0.992 153.4449658 3177.605657 0.06 -5.519 -6.424 -6.806 -3.54 -5.77 -6.791
1.145489573 0.99 162.9493547 3142.67883 0.007 -5.614 -6.525 -6.916 -3.513 -5.863 -6.9
1.145490289 0.986 173.8011496 3103.130215 -0.051 -5.718 -6.634 -7.036 -3.48 -5.963 -7.017
1.145490885 0.982 180.1991113 3081.058895 -0.084 -5.774 -6.692 -7.099 -3.466 -6.017 -7.079
1.145491004 0.982 112.2154473 3351.96905 0.327 -4.994 -5.878 -6.211 -3.535 -5.249 -6.201
1.145491004 0.982 90.8139665 3479.365076 0.511 -4.641 -5.505 -5.806 -3.535 -5.249 -6.201
1.145491123 0.981 67.07375881 3671.131997 0.774 -4.144 -4.962 -5.224 -3.085 -4.37 -5.217
1.145491362 0.98 69.99268355 3641.665066 0.737 -4.212 -5.038 -5.305 -3.133 -4.442 -5.298
1.145491719 0.978 87.428423 3499.45167 0.542 -4.575 -5.435 -5.731 -3.361 -4.821 -5.723
1.145492077 0.976 116.2927512 3325.063932 0.294 -5.047 -5.934 -6.275 -3.528 -5.303 -6.264
1.145492554 0.974 147.1813035 3187.131627 0.088 -5.436 -6.341 -6.719 -3.491 -5.688 -6.704
1.14549303 0.971 171.4165085 3099.55966 -0.045 -5.683 -6.6 -7.002 -3.436 -5.928 -6.983
1.145493627 0.969 185.2902831 3054.217773 -0.115 -5.81 -6.732 -7.144 -3.43 -6.049 -7.121
1.145494223 0.965 192.2882048 3031.098154 -0.148 -5.867 -6.791 -7.208 -3.424 -6.102 -7.183
1.145494938 0.962 196.4050476 3016.476873 -0.168 -5.897 -6.823 -7.243 -3.415 -6.13 -7.216
1.145494938 0.961 136.5691621 3216.621793 0.147 -5.301 -6.203 -6.573 -3.415 -6.13 -7.216
1.145495057 0.961 100.2888485 3397.817118 0.415 -4.787 -5.666 -5.986 -3.426 -5.042 -5.977
1.145495295 0.96 73.95246334 3585.915075 0.679 -4.284 -5.125 -5.403 -3.16 -4.522 -5.396
1.145495534 0.958 77.09969231 3558.770648 0.642 -4.351 -5.199 -5.483 -3.204 -4.592 -5.475
1.145495892 0.956 95.9958912 3421.369661 0.451 -4.713 -5.588 -5.902 -3.389 -4.966 -5.893
1.145496249 0.953 127.1606224 3253.868518 0.206 -5.177 -6.075 -6.435 -3.446 -5.433 -6.424
1.145496845 0.95 160.3439747 3121.044781 0.004 -5.558 -6.473 -6.868 -3.388 -5.805 -6.85
1.145497322 0.947 186.0598407 3037.386092 -0.127 -5.8 -6.724 -7.139 -3.377 -6.036 -7.114
1.145498037 0.943 200.7024365 2994.332334 -0.195 -5.922 -6.85 -7.273 -3.389 -6.15 -7.243
1.145498753 0.939 207.755555 2973.719495 -0.227 -5.975 -6.904 -7.331 -3.394 -6.198 -7.299
1.145499587 0.934 211.3258599 2962.101936 -0.244 -6.001 -6.932 -7.361 -3.392 -6.222 -7.327
1.145499587 0.933 148.7142704 3154.27824 0.061 -5.429 -6.338 -6.724 -3.392 -6.222 -7.327
1.145499706 0.933 109.1824021 3334.264128 0.329 -4.918 -5.805 -6.142 -3.42 -5.174 -6.132
1.145499945 0.931 80.36235309 3522.086356 0.594 -4.411 -5.266 -5.557 -3.223 -4.655 -5.55
1.145500183 0.929 83.78237068 3495.425096 0.557 -4.478 -5.339 -5.636 -3.259 -4.725 -5.628
