# Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
1.061089873 1.058 9.241716562 4557.220056 2.528 -0.559 -1.163 -1.269 0.126 -0.688 -1.266
1.061224222 1.058 8.696663071 4585.640454 2.581 -0.446 -1.042 -1.145 0.23 -0.572 -1.142
1.061235666 1.058 8.658699044 4587.752705 2.585 -0.439 -1.034 -1.137 0.237 -0.564 -1.134
1.06142509 1.058 9.235334815 4561.419344 2.528 -0.56 -1.164 -1.269 0.123 -0.689 -1.266
1.06161952 1.058 9.882177377 4533.149061 2.47 -0.687 -1.299 -1.406 0.005 -0.819 -1.403
1.061805487 1.058 10.57919555 4504.016782 2.411 -0.815 -1.435 -1.545 -0.114 -0.951 -1.542
1.061972618 1.058 11.29412642 4476.102262 2.354 -0.94 -1.567 -1.68 -0.229 -1.078 -1.677
1.062131166 1.058 12.09630266 4446.312675 2.295 -1.067 -1.703 -1.818 -0.347 -1.209 -1.815
1.062270641 1.058 12.91970641 4417.738449 2.238 -1.189 -1.833 -1.952 -0.46 -1.334 -1.948
1.062401891 1.058 13.80551604 4388.337287 2.179 -1.313 -1.967 -2.088 -0.574 -1.462 -2.084
1.062520146 1.058 14.74526713 4360.13564 2.122 -1.435 -2.097 -2.221 -0.687 -1.587 -2.218
1.062628388 1.058 15.73811248 4331.117839 2.066 -1.555 -2.226 -2.354 -0.797 -1.711 -2.35
1.062729836 1.057 16.82490594 4301.302634 2.008 -1.677 -2.358 -2.488 -0.909 -1.838 -2.485
1.062819839 1.057 17.94537941 4271.692675 1.952 -1.794 -2.479 -2.615 -1.015 -1.956 -2.612
1.062901974 1.057 19.14047207 4242.286549 1.896 -1.909 -2.599 -2.741 -1.12 -2.073 -2.737
1.062979341 1.057 20.43867062 4213.082854 1.838 -2.027 -2.721 -2.869 -1.226 -2.193 -2.865
1.063047767 1.056 21.78475323 4183.116887 1.783 -2.14 -2.838 -2.993 -1.328 -2.308 -2.989
1.063112497 1.056 23.24623612 4153.364055 1.726 -2.256 -2.958 -3.12 -1.432 -2.425 -3.115
1.063169003 1.056 24.72593054 4125.722371 1.672 -2.365 -3.071 -3.239 -1.529 -2.536 -3.234
1.063223004 1.055 26.36650979 4095.434646 1.617 -2.477 -3.188 -3.363 -1.629 -2.65 -3.358
1.063272715 1.055 28.10299751 4066.305463 1.561 -2.589 -3.304 -3.486 -1.728 -2.764 -3.481
1.06331718 1.054 29.88495766 4037.383465 1.507 -2.696 -3.416 -3.606 -1.823 -2.874 -3.6
1.063359022 1.054 31.83117314 4007.744253 1.452 -2.808 -3.536 -3.731 -1.922 -2.989 -3.726
1.063397169 1.053 33.86512203 3978.322628 1.399 -2.917 -3.654 -3.855 -2.019 -3.103 -3.849
1.063432097 1.053 35.98758013 3949.116993 1.345 -3.026 -3.771 -3.977 -2.115 -3.215 -3.971
1.06346488 1.052 38.30475111 3919.223225 1.291 -3.136 -3.89 -4.101 -2.212 -3.33 -4.095
1.063494325 1.051 40.63990133 3891.347363 1.239 -3.242 -4.005 -4.221 -2.305 -3.44 -4.215
1.063521147 1.05 43.15713884 3861.890894 1.187 -3.346 -4.117 -4.339 -2.396 -3.548 -4.333
