# Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
0.8519343138 0.837 30.67274505 4322.151642 1.384 -0.794 -2.052 -2.974 -3.644 -3.765
0.8519560099 0.836 32.53513738 4294.375337 1.333 -0.867 -2.144 -3.079 -3.758 -3.882
0.8519797325 0.835 34.80588211 4260.886836 1.273 -0.951 -2.252 -3.202 -3.893 -4.02
0.8519971967 0.834 36.79193632 4233.504249 1.225 -1.016 -2.337 -3.299 -3.999 -4.13
0.8520143628 0.833 38.95405246 4205.329212 1.175 -1.082 -2.424 -3.4 -4.11 -4.244
0.8520328403 0.831 41.53867553 4174.457078 1.118 -1.16 -2.526 -3.517 -4.238 -4.376
0.8520469069 0.83 43.85838594 4147.629932 1.07 -1.221 -2.608 -3.612 -4.342 -4.484
0.8520603776 0.829 46.30763962 4120.975191 1.022 -1.28 -2.69 -3.707 -4.448 -4.593
0.8520752788 0.827 49.42567906 4088.838903 0.965 -1.349 -2.788 -3.821 -4.573 -4.723
0.8520890474 0.825 52.66870556 4057.887476 0.908 -1.416 -2.885 -3.935 -4.697 -4.852
0.8520997763 0.823 55.52040748 4032.73793 0.862 -1.47 -2.963 -4.027 -4.799 -4.958
0.8521113992 0.821 59.02726282 4002.211172 0.807 -1.53 -3.054 -4.134 -4.917 -5.08
0.8521223664 0.818 62.82791461 3971.915495 0.752 -1.589 -3.145 -4.242 -5.036 -5.205
0.8521324992 0.816 66.76558288 3942.756896 0.698 -1.645 -3.234 -4.347 -5.152 -5.326
0.8521419168 0.813 70.86840278 3913.812356 0.644 -1.7 -3.321 -4.451 -5.266 -5.445
0.8521504402 0.81 75.13679133 3885.080304 0.592 -1.749 -3.404 -4.55 -5.376 -5.561
0.8521584868 0.806 79.53396702 3857.447287 0.54 -1.796 -3.486 -4.649 -5.486 -5.675
0.8521658778 0.803 84.09160562 3830.010812 0.49 -1.839 -3.565 -4.745 -5.592 -5.786
0.8521728516 0.799 89.01283738 3802.769482 0.439 -1.879 -3.644 -4.842 -5.698 -5.898
0.8521791101 0.795 93.85396934 3776.591401 0.391 -1.909 -3.718 -4.933 -5.799 -6.004
0.8521848917 0.79 98.84453094 3750.593529 0.343 -1.937 -3.789 -5.022 -5.896 -6.106
0.8521903753 0.786 103.980678 3724.774625 0.296 -1.962 -3.858 -5.108 -5.991 -6.207
0.8521955609 0.781 109.3333474 3699.985312 0.25 -1.982 -3.925 -5.193 -6.084 -6.306
0.8522004485 0.775 114.644347 3676.207358 0.206 -2 -3.989 -5.275 -6.173 -6.4
0.8522040844 0.771 118.5366488 3659.31672 0.174 -2.01 -4.034 -5.332 -6.236 -6.466
0.8522040844 0.771 118.5366488 3659.31672 0.174 0.664 -0.194 -5.332 -6.236 -6.466
0.852267921 0.77 8.930024386 5246.866328 2.42 0.631 -0.232 -0.847 -1.279 -1.345
0.8523317575 0.77 8.969178038 5244.450613 2.416 0.622 -0.24 -0.856 -1.289 -1.355
