# Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
1.142076016 1.081 10.61335387 4708.688923 2.417 0.919 -0.186 -0.963 -1.518 -1.614
1.142215371 1.081 10.59138231 4710.857854 2.419 0.919 -0.184 -0.96 -1.515 -1.611
1.142348647 1.081 10.58163178 4713.027784 2.42 0.919 -0.183 -0.959 -1.512 -1.609
1.142481208 1.081 10.57189022 4715.198713 2.421 0.919 -0.183 -0.958 -1.511 -1.607
1.142620683 1.081 10.56702281 4716.284553 2.421 0.918 -0.183 -0.958 -1.51 -1.607
1.142752647 1.081 10.56215764 4717.370643 2.421 0.916 -0.184 -0.958 -1.511 -1.607
1.142895579 1.082 10.57432477 4717.370643 2.421 0.914 -0.186 -0.96 -1.512 -1.609
1.143031836 1.082 10.58650592 4717.370643 2.42 0.911 -0.189 -0.963 -1.515 -1.612
1.143040538 1.082 10.58650592 4717.370643 2.42 0.911 -0.189 -0.963 -1.516 -1.612
1.143117309 1.082 10.59870111 4717.370643 2.419 0.909 -0.191 -0.965 -1.518 -1.614
1.143253446 1.082 10.6280269 4716.284553 2.416 0.905 -0.196 -0.97 -1.523 -1.62
1.143385887 1.082 10.66234289 4714.113124 2.414 0.9 -0.202 -0.977 -1.53 -1.627
1.143518686 1.082 10.70909188 4711.942694 2.41 0.894 -0.209 -0.985 -1.539 -1.636
1.143654108 1.082 10.77339653 4708.688923 2.405 0.886 -0.218 -0.996 -1.55 -1.647
1.143789649 1.083 10.85557032 4704.354057 2.399 0.877 -0.23 -1.009 -1.564 -1.662
1.143923521 1.083 10.94340935 4698.941086 2.391 0.866 -0.243 -1.023 -1.58 -1.678
1.144058227 1.083 11.04466747 4693.534343 2.383 0.854 -0.258 -1.04 -1.599 -1.697
1.144191146 1.083 11.16998641 4685.975353 2.373 0.84 -0.275 -1.061 -1.621 -1.72
1.144333124 1.083 11.32798447 4677.351413 2.362 0.824 -0.296 -1.084 -1.647 -1.746
1.144465923 1.083 11.30453349 4679.505909 2.363 0.825 -0.294 -1.082 -1.644 -1.743
1.144600272 1.084 11.76393578 4653.717326 2.329 0.778 -0.355 -1.151 -1.721 -1.822
1.144725561 1.084 12.50986563 4615.300681 2.276 0.703 -0.45 -1.261 -1.841 -1.945
1.144786835 1.084 13.29696865 4578.255228 2.223 0.63 -0.543 -1.368 -1.958 -2.065
