# Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
4.983648777 4.982 6.514073355 13362.87789 3.506 -1.833 -1.763 -1.734 -1.935 -1.812 -1.736
5 4.999 6.658135739 13301.48105 3.487 -1.877 -1.807 -1.779 -1.978 -1.856 -1.781
5.03620863 5.035 7.004104948 13164.36757 3.446 -1.974 -1.905 -1.878 -2.073 -1.953 -1.879
5.038089275 5.037 7.026719946 13158.30655 3.444 -1.978 -1.91 -1.882 -2.077 -1.958 -1.884
5.045286655 5.044 6.992824758 13258.67118 3.449 -1.977 -1.908 -1.88 -2.078 -1.957 -1.882
5.062100887 5.061 6.850979135 13573.75481 3.468 -1.964 -1.892 -1.863 -2.07 -1.943 -1.865
5.066700458 5.066 6.63517902 13912.33415 3.496 -1.926 -1.852 -1.82 -2.038 -1.905 -1.822
5.068764687 5.068 6.432097883 14252.79373 3.524 -1.888 -1.811 -1.778 -2.005 -1.867 -1.78
5.069877625 5.069 6.24385264 14608.3108 3.549 -1.855 -1.776 -1.741 -1.978 -1.834 -1.743
5.070497513 5.07 6.105941581 14917.6358 3.569 -1.833 -1.752 -1.716 -1.96 -1.811 -1.718
5.070843697 5.07 6.027714096 15100.80154 3.58 -1.82 -1.737 -1.7 -1.949 -1.798 -1.703
5.071023941 5.07 6.0304906 14941.69957 3.579 -1.808 -1.727 -1.691 -1.936 -1.787 -1.693
5.071184635 5.071 6.105941581 14662.22906 3.569 -1.811 -1.731 -1.697 -1.934 -1.789 -1.699
5.071330547 5.071 6.268341442 14354.89433 3.546 -1.841 -1.763 -1.73 -1.96 -1.82 -1.732
5.071509838 5.071 6.580405321 13970.11561 3.504 -1.912 -1.837 -1.806 -2.025 -1.891 -1.808
5.071698666 5.071 6.997656899 13601.91323 3.45 -2.014 -1.942 -1.912 -2.12 -1.993 -1.914
5.071903229 5.071 7.499851164 13237.31794 3.391 -2.128 -2.059 -2.031 -2.229 -2.108 -2.033
5.072118759 5.071 8.019598849 12882.49552 3.332 -2.24 -2.174 -2.148 -2.335 -2.22 -2.15
5.072342873 5.072 8.545798429 12537.18401 3.276 -2.344 -2.281 -2.257 -2.432 -2.324 -2.258
5.072570801 5.072 9.089764778 12198.31938 3.223 -2.44 -2.381 -2.358 -2.522 -2.421 -2.36
5.072800159 5.072 9.646119656 11868.61385 3.172 -2.531 -2.475 -2.455 -2.606 -2.513 -2.456
5.073029518 5.072 10.21298384 11547.81985 3.122 -2.617 -2.565 -2.546 -2.685 -2.599 -2.548
5.073255539 5.073 10.79326015 11233.1097 3.074 -2.7 -2.651 -2.634 -2.76 -2.682 -2.635
5.073477268 5.073 11.4065063 10926.97627 3.026 -2.779 -2.734 -2.719 -2.831 -2.762 -2.721
5.073691845 5.073 12.0407252 10629.18583 2.98 -2.856 -2.814 -2.802 -2.899 -2.839 -2.803
5.073899269 5.073 12.69558288 10339.51101 2.934 -2.93 -2.893 -2.883 -2.964 -2.914 -2.884
5.07409811 5.073 13.37065383 10057.73063 2.888 -3.002 -2.969 -2.963 -3.027 -2.987 -2.964
5.074288845 5.074 14.07189691 9781.377043 2.844 -3.072 -3.044 -3.041 -3.087 -3.058 -3.042
5.074470043 5.074 14.80309904 9514.807364 2.8 -3.141 -3.118 -3.119 -3.145 -3.127 -3.119
5.074643135 5.074 15.57946877 9253.371535 2.756 -3.209 -3.191 -3.195 -3.2 -3.195 -3.196
5.074807644 5.074 16.35131348 9001.191471 2.713 -3.275 -3.263 -3.271 -3.253 -3.262 -3.271
5.074963093 5.074 17.18908047 8753.868129 2.67 -3.34 -3.334 -3.346 -3.303 -3.326 -3.346
5.075111389 5.075 18.04897922 8513.340425 2.628 -3.403 -3.405 -3.42 -3.35 -3.389 -3.42
5.075251102 5.075 18.95189514 8279.421637 2.586 -3.463 -3.475 -3.493 -3.393 -3.45 -3.493
5.075383186 5.075 19.88623855 8050.076361 2.544 -3.522 -3.546 -3.567 -3.432 -3.508 -3.566
5.075508118 5.075 20.8570386 7828.886556 2.502 -3.578 -3.616 -3.64 -3.467 -3.565 -3.639
5.075626373 5.075 21.87523085 7613.774325 2.461 -3.634 -3.687 -3.713 -3.5 -3.621 -3.713
5.075737476 5.075 22.95369702 7402.867905 2.419 -3.688 -3.759 -3.787 -3.531 -3.676 -3.787
5.075842857 5.075 24.04654273 7199.461274 2.379 -3.742 -3.832 -3.862 -3.561 -3.731 -3.861
5.075942516 5.075 25.20302353 7000.031591 2.338 -3.793 -3.904 -3.936 -3.587 -3.784 -3.935
5.07603693 5.075 26.40296165 6807.693587 2.297 -3.842 -3.975 -4.01 -3.611 -3.836 -4.009
5.076126576 5.076 27.67277072 6619.116119 2.256 -3.888 -4.046 -4.083 -3.631 -3.886 -4.081
5.076210976 5.076 29.00364928 6435.762368 2.216 -3.933 -4.116 -4.155 -3.65 -3.935 -4.154
5.076291561 5.076 30.36355688 6257.487634 2.176 -3.976 -4.185 -4.228 -3.666 -3.983 -4.226
5.076367855 5.076 31.80919254 6085.552312 2.136 -4.017 -4.253 -4.3 -3.68 -4.03 -4.298
5.076440334 5.076 33.28531297 5918.341211 2.096 -4.058 -4.323 -4.373 -3.692 -4.078 -4.371
5.076509953 5.076 34.82993347 5755.724525 2.057 -4.095 -4.39 -4.445 -3.7 -4.122 -4.443
5.076576233 5.076 36.39591523 5601.444019 2.019 -4.124 -4.451 -4.51 -3.7 -4.16 -4.508
5.076642036 5.076 37.90117245 5457.578611 1.983 -4.149 -4.505 -4.569 -3.695 -4.193 -4.567
5.076711178 5.076 39.40511913 5318.632708 1.95 -4.167 -4.554 -4.622 -3.682 -4.219 -4.62
5.076787949 5.076 40.69608623 5191.585371 1.921 -4.175 -4.591 -4.665 -3.66 -4.236 -4.663
5.076885223 5.076 41.75924565 5072.242399 1.899 -4.167 -4.612 -4.691 -3.622 -4.237 -4.689
5.076997757 5.076 42.39871016 4970.499106 1.886 -4.142 -4.613 -4.698 -3.57 -4.221 -4.695
5.077123165 5.077 42.92918512 4871.918336 1.875 -4.111 -4.607 -4.698 -3.511 -4.198 -4.696
5.077260017 5.077 43.66692848 4775.292737 1.86 -4.087 -4.601 -4.701 -3.46 -4.179 -4.699
5.077356815 5.077 44.58129142 4709.773264 1.842 -4.09 -4.619 -4.725 -3.443 -4.188 -4.722
5.077455044 5.077 46.52138598 4645.152752 1.806 -4.137 -4.681 -4.794 -3.471 -4.24 -4.791
5.077587604 5.077 50.14788772 4557.220056 1.741 -4.24 -4.803 -4.926 -3.545 -4.35 -4.923
5.077695847 5.077 54.13182197 4488.487293 1.674 -4.357 -4.936 -5.068 -3.64 -4.473 -5.064
5.077784061 5.077 57.77668829 4438.129803 1.617 -4.461 -5.049 -5.189 -3.726 -4.58 -5.185
5.077872753 5.077 61.32713055 4395.416154 1.565 -4.558 -5.154 -5.301 -3.808 -4.68 -5.297
5.077991486 5.077 65.56206814 4350.107606 1.508 -4.666 -5.271 -5.426 -3.9 -4.792 -5.421
5.0780406 5.077 66.84249386 4338.104405 1.491 -4.697 -5.305 -5.462 -3.927 -4.824 -5.457
5.078149319 5.078 69.31905681 4314.197273 1.459 -4.76 -5.375 -5.535 -3.981 -4.89 -5.53
5.078178883 5.078 69.87995954 4309.233228 1.453 -4.772 -5.388 -5.549 -3.991 -4.903 -5.544
