# I-mag mass-luminocity relation of the PARSEC isochrones model extracted from input_files/CMD3.3*.dat (references therein)
# Part of CMD3.3-bar_age.dat
#Gyr     Mini       MIc
 6 1.1909980774  -0.220
 6 1.1911563873  -0.220
 6 1.1913229227  -0.221
 6 1.1914806366  -0.223
 6 1.1916513443  -0.225
 6 1.1918141842  -0.228
 6 1.1918245554  -0.228
 6 1.1918946505  -0.230
 6 1.1920526028  -0.235
 6 1.1922036409  -0.240
 6 1.1923553944  -0.247
 6 1.1925071478  -0.256
 6 1.1926578283  -0.266
 6 1.1928064823  -0.279
 6 1.1929540634  -0.293
 6 1.1931033134  -0.309
 6 1.1932548285  -0.328
 6 1.1933943033  -0.345
 6 1.1935456991  -0.391
 6 1.1936923265  -0.475
 6 1.1937702894  -0.565
 6 1.1938126087  -0.657
 6 1.1938353777  -0.749
 6 1.1938469410  -0.838
 6 1.1938534975  -0.928
 6 1.1938574314  -1.014
 6 1.1938601732  -1.096
 6 1.1938602924  -1.098
 6 1.1938616037  -1.146
 6 1.1938643456  -1.248
 6 1.1938667297  -1.331
 6 1.1938706636  -1.424
 6 1.1938766241  -1.408
 6 1.1938879490  -1.319
 6 1.1939750910  -1.228
 6 1.1940623522  -1.292
 6 1.1941306591  -1.389
 6 1.1941879988  -1.483
 6 1.1942361593  -1.575
 6 1.1942772865  -1.668
 6 1.1943130493  -1.760
 6 1.1943442822  -1.851
 6 1.1943719387  -1.944
 6 1.1943967342  -2.035
 6 1.1944196224  -2.126
 6 1.1944407225  -2.215
 6 1.1944608688  -2.296
 6 1.1944797039  -2.380
 6 1.1944972277  -2.468
 6 1.1945139170  -2.553
 6 1.1945306063  -2.639
 6 1.1945453882  -2.724
 6 1.1945559978  -2.802
 6 1.1945629120  -2.867
 6 1.1945687532  -2.939
 6 1.1945741177  -3.006
 6 1.1945791245  -3.069
 6 1.1945834160  -3.126
 6 1.1945875883  -3.172
 6 1.1945925951  -3.226
 6 1.1945976019  -3.254
 6 1.1946030855  -3.279
 6 1.1946086884  -3.267
 6 1.1946113110  -3.258
 6 1.1946123838  -3.253
 6 1.1946133375  -3.241
 6 1.1946140528  -3.231
 6 1.1946141720  -3.263
 6 1.1946142912  -3.264
 6 1.1946144104  -3.263
 6 1.1946145296  -3.263
 6 1.1946148872  -3.261
 6 1.1946151257  -3.257
 6 1.1946153641  -3.253
 6 1.1946157217  -3.241
 6 1.1946160793  -3.194
 6 1.1946164370  -3.142
 6 1.1946170330  -3.094
 6 1.1946176291  -3.042
 6 1.1946184635  -2.985
 6 1.1946185827  -2.985
 6 1.1946187019  -3.222
 6 1.1946187019  -3.112
 6 1.1946189404  -2.816
 6 1.1946192980  -2.857
 6 1.1946197748  -3.065
 6 1.1946202517  -3.217
 6 1.1946208477  -3.109
 6 1.1946216822  -2.980
 6 1.1946223974  -2.895
 6 1.1946233511  -2.845
 6 1.1946244240  -2.853
 6 1.1946244240  -3.082
 6 1.1946245432  -3.129
 6 1.1946247816  -2.906
 6 1.1946251392  -2.940
 6 1.1946256161  -3.101
 6 1.1946260929  -3.128
 6 1.1946266890  -2.948
 6 1.1946275234  -2.807
 6 1.1946282387  -2.780
 6 1.1946291924  -2.761
 6 1.1946302652  -2.778
 6 1.1946302652  -2.955
 6 1.1946305037  -3.123
 6 1.1946307421  -2.978
 6 1.1946310997  -3.005
 6 1.1946315765  -3.109
 6 1.1946321726  -2.994
 6 1.1946327686  -2.795
 6 1.1946336031  -2.720
 6 1.1946345568  -2.708
 6 1.1946355104  -2.700
 6 1.1946367025  -2.722
 6 1.1946367025  -2.795
 6 1.1946369410  -3.052
 6 1.1946371794  -3.021
 6 1.1946375370  -3.043
 6 1.1946381330  -3.061
 6 1.1946387291  -2.851
 6 1.1946394444  -2.669
 6 1.1946402788  -2.641
 6 1.1946412325  -2.641
 6 1.1946424246  -2.636
 6 1.1946436167  -2.664
 6 1.1946436167  -2.631
 6 1.1946438551  -2.872
 6 1.1946440935  -3.021
 6 1.1946445704  -3.022
 6 1.1946450472  -2.884
 6 1.1946457624  -2.595
 6 1.1946464777  -2.522
 6 1.1946474314  -2.527
 6 1.1946483850  -2.525
 6 1.1946495771  -2.520
 6 1.1946508884  -2.629
 6 1.1946508884  -2.434
 6 1.1946511269  -2.448
 6 1.1946513653  -2.659
 6 1.1946518421  -2.454
 6 1.1946523190  -2.115
 6 1.1946530342  -2.075
 6 1.1946537495  -2.066
 6 1.1946547031  -2.172
 6 1.1946556568  -2.201
 6 1.1946568489  -2.187
 6 1.1946581602  -2.774
 6 1.1946645975  30.021
 7 0.0900000036  13.733
 7 0.1000000015  13.274
 7 0.1138703600  12.799
 7 0.1200000048  12.503
 7 0.1400000006  11.795
 7 0.1523681581  11.474
 7 0.1599999964  11.292
 7 0.2000000030  10.581
 7 0.2500000000   9.942
 7 0.3000000119   9.477
 7 0.3500000238   9.058
 7 0.4000000358   8.653
 7 0.4500000179   8.238
 7 0.5000000000   7.802
