# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Jun 12 07:22:14 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0025572 -0.78000 10.07918 0.7607089281 2.4041631222    0.760 -0.070  3.7754  4.442    1  0.000  0.535     0.00     0.00 -1 -1.16e-15      0.00 8.137e-01 1.842e-01 3.661e-04 1.002e-04 9.126e-04 -1.000 2.098e-03 4.945 5.446 5.565 5.033 4.683 4.361 3.970 3.649 3.612
0.0025572 -0.78000 10.07918 0.7646560669 2.4057040215    0.764 -0.049  3.7769  4.430    1  0.000  0.535     0.00     0.00 -1 -7.26e-15      0.00 8.148e-01 1.831e-01 3.642e-04 9.972e-05 9.083e-04 -1.000 2.089e-03 4.894 5.383 5.507 4.980 4.633 4.314 3.927 3.608 3.572
0.0025572 -0.78000 10.07918 0.7693896890 2.4075276852    0.768 -0.025  3.7785  4.414    1  0.000  0.534     0.00     0.00 -1 -9.87e-15      0.00 8.167e-01 1.812e-01 3.611e-04 9.891e-05 9.011e-04 -1.000 2.069e-03 4.832 5.308 5.437 4.917 4.573 4.257 3.873 3.558 3.522
0.0025572 -0.78000 10.07918 0.7790280581 2.4111626148    0.778  0.028  3.7817  4.379    1  0.000  0.534     0.00     0.00 -1 -1.86e-14      0.00 8.207e-01 1.772e-01 3.547e-04 9.721e-05 8.857e-04 -1.000 2.038e-03 4.700 5.155 5.290 4.782 4.445 4.133 3.756 3.447 3.413
0.0025572 -0.78000 10.07918 0.7881004810 2.4144906998    0.787  0.080  3.7843  4.343    1  0.000  0.533     0.00     0.00 -1 -3.39e-14      0.00 8.247e-01 1.734e-01 3.485e-04 9.554e-05 8.708e-04 -1.000 1.954e-03 4.569 5.009 5.146 4.648 4.316 4.009 3.638 3.334 3.302
0.0025572 -0.78000 10.07918 0.7967075109 2.4175677299    0.795  0.132  3.7863  4.304    1  0.000  0.533     0.00     0.00 -1 -6.03e-14      0.00 8.283e-01 1.698e-01 3.428e-04 9.402e-05 8.572e-04 -1.000 1.920e-03 4.440 4.869 5.007 4.517 4.190 3.886 3.520 3.219 3.188
0.0025572 -0.78000 10.07918 0.8049994707 2.4204604626    0.803  0.184  3.7877  4.262    1  0.000  0.533     0.00     0.00 -1 -1.06e-13      0.00 8.307e-01 1.674e-01 3.390e-04 9.304e-05 8.484e-04 -1.000 1.918e-03 4.309 4.730 4.868 4.384 4.060 3.759 3.396 3.098 3.068
0.0025572 -0.78000 10.07918 0.8106004596 2.4223761559    0.809  0.221  3.7885  4.230    1  0.000  0.533     0.00     0.00 -1 -1.54e-15      0.00 8.317e-01 1.664e-01 3.376e-04 9.265e-05 8.449e-04 -1.000 1.934e-03 4.216 4.634 4.771 4.290 3.968 3.668 3.307 3.010 2.981
0.0025572 -0.78000 10.07918 0.8131192923 2.4232275486    0.811  0.239  3.7885  4.214    1  0.000  0.532     0.00     0.00 -1 -4.91e-15      0.00 8.319e-01 1.662e-01 3.373e-04 9.258e-05 8.443e-04 -1.000 1.932e-03 4.171 4.589 4.725 4.245 3.923 3.623 3.262 2.966 2.936
0.0025572 -0.78000 10.07918 0.8135626316 2.4233770370    0.812  0.243  3.7885  4.211    1  0.000  0.532     0.00     0.00 -1 -5.13e-15      0.00 8.319e-01 1.661e-01 3.373e-04 9.258e-05 8.443e-04 -1.000 1.932e-03 4.163 4.581 4.717 4.237 3.915 3.615 3.254 2.958 2.928
0.0025572 -0.78000 10.07918 0.8191490769 2.4252417088    0.817  0.286  3.7879  4.169    1  0.000  0.532     0.00     0.00 -1 -8.99e-15      0.00 8.322e-01 1.659e-01 3.374e-04 9.260e-05 8.446e-04 -1.000 1.899e-03 4.056 4.477 4.610 4.130 3.807 3.507 3.144 2.847 2.817
0.0025572 -0.78000 10.07918 0.8254711032 2.4273171425    0.824  0.338  3.7859  4.111    1  0.000  0.532     0.00     0.00 -1 -1.73e-14      0.00 8.315e-01 1.665e-01 3.393e-04 9.313e-05 8.497e-04 -1.000 1.928e-03 3.925 4.358 4.486 4.000 3.674 3.371 3.003 2.703 2.672
0.0025572 -0.78000 10.07918 0.8276907206 2.4280371666    0.826  0.357  3.7849  4.089    1  0.000  0.532     0.00     0.00 -1  -2.2e-14      0.00 8.310e-01 1.671e-01 3.407e-04 9.355e-05 8.535e-04 -1.000 1.956e-03 3.876 4.316 4.441 3.952 3.625 3.320 2.950 2.648 2.616
0.0025572 -0.78000 10.07918 0.8313400745 2.4292116165    0.829  0.393  3.7816  4.042    2  0.000  0.532     0.00     0.00 -1  -3.3e-14      0.00 8.272e-01 1.708e-01 3.491e-04 9.586e-05 8.745e-04 -1.000 1.989e-03 3.788 4.245 4.366 3.867 3.534 3.224 2.846 2.537 2.504
0.0025572 -0.78000 10.07918 0.8352041841 2.4304420948    0.833  0.434  3.7754  3.979    2  0.000  0.532     0.00     0.00 -1 -5.18e-14      0.00 8.158e-01 1.820e-01 3.714e-04 1.019e-04 9.296e-04 -1.000 2.124e-03 3.686 4.186 4.291 3.772 3.427 3.108 2.715 2.395 2.358
0.0025572 -0.78000 10.07918 0.8381792903 2.4313805103    0.836  0.466  3.7665  3.913    2  0.000  0.534     0.00     0.00 -1 -7.51e-14      0.00 7.951e-01 2.026e-01 4.047e-04 1.110e-04 1.011e-03 -1.000 2.309e-03 3.605 4.170 4.251 3.702 3.341 3.008 2.593 2.256 2.214
0.0025572 -0.78000 10.07918 0.8399954438 2.4319496155    0.838  0.485  3.7576  3.858    2  0.000  0.535     0.00     0.00 -1 -9.55e-14      0.00 7.813e-01 2.163e-01 4.251e-04 1.164e-04 1.059e-03 -1.000 2.401e-03 3.557 4.192 4.247 3.668 3.289 2.942 2.505 2.149 2.103
0.0025572 -0.78000 10.07918 0.8414925933 2.4324166775    0.839  0.503  3.7476  3.801    2  0.000  0.536     0.00     0.00 -1 -1.19e-13      0.00 7.718e-01 2.257e-01 4.387e-04 1.200e-04 1.092e-03 -1.000 2.485e-03 3.511 4.230 4.252 3.640 3.242 2.879 2.416 2.039 1.988
0.0025572 -0.78000 10.07918 0.8426699042 2.4327826500    0.840  0.528  3.7391  3.743    2  0.000  0.536     0.00     0.00 -1 -1.46e-13      0.00 7.660e-01 2.315e-01 4.469e-04 1.222e-04 1.111e-03 -1.000 2.504e-03 3.450 4.245 4.237 3.597 3.183 2.805 2.319 1.923 1.867
0.0025572 -0.78000 10.07918 0.8436914682 2.4330992699    0.841  0.562  3.7325  3.683    2  0.000  0.537     0.00     0.00 -1 -1.82e-13      0.00 7.618e-01 2.356e-01 4.527e-04 1.237e-04 1.125e-03 -1.000 2.543e-03 3.364 4.227 4.188 3.526 3.099 2.711 2.206 1.794 1.735
0.0025572 -0.78000 10.07918 0.8446381688 2.4333918095    0.842  0.607  3.7276  3.619    2  0.000  0.537     0.00     0.00 -1 -2.32e-13      0.00 7.584e-01 2.390e-01 4.568e-04 1.249e-04 1.135e-03 -1.000 2.589e-03 3.253 4.168 4.107 3.428 2.992 2.596 2.075 1.650 1.590
0.0025572 -0.78000 10.07918 0.8447734118 2.4334335327    0.842  0.614  3.7270  3.610    2  0.000  0.537     0.00     0.00 -1 -2.42e-13      0.00 7.580e-01 2.395e-01 4.573e-04 1.250e-04 1.136e-03 -1.000 2.571e-03 3.236 4.157 4.093 3.412 2.975 2.578 2.055 1.629 1.568
0.0025572 -0.78000 10.07918 0.8455643058 2.4336771965    0.843  0.661  3.7241  3.551    3  0.000  0.537     0.00     0.00 -1 -3.04e-13      0.00 7.553e-01 2.421e-01 4.599e-04 1.257e-04 1.142e-03 -1.000 2.588e-03 3.116 4.068 3.991 3.301 2.858 2.456 1.924 1.490 1.428
0.0025572 -0.78000 10.07918 0.8462118506 2.4338765144    0.844  0.705  3.7220  3.500    3  0.000  0.537     0.00     0.00 -1 -3.72e-13      0.00 7.531e-01 2.443e-01 4.617e-04 1.262e-04 1.147e-03 -1.000 2.604e-03 3.009 3.981 3.895 3.198 2.752 2.347 1.809 1.368 1.305
0.0025572 -0.78000 10.07918 0.8469215631 2.4340944290    0.844  0.756  3.7200  3.440    3  0.000  0.536     0.00     0.00 -1 -4.72e-13      0.00 7.506e-01 2.468e-01 4.631e-04 1.268e-04 1.151e-03 -1.000 2.620e-03 2.879 3.873 3.778 3.074 2.624 2.216 1.671 1.225 1.162
0.0025572 -0.78000 10.07918 0.8474414945 2.4342536926    0.845  0.798  3.7186  3.394    3  0.000  0.536     0.00     0.00 -1 -5.68e-13      0.00 7.486e-01 2.487e-01 4.634e-04 1.273e-04 1.154e-03 -1.000 2.628e-03 2.776 3.787 3.684 2.975 2.523 2.112 1.563 1.113 1.050
0.0025572 -0.78000 10.07918 0.8480650187 2.4344446659    0.845  0.851  3.7169  3.334    3  0.000  0.534     0.00     0.00 -1 -7.19e-13      0.00 7.463e-01 2.511e-01 4.623e-04 1.286e-04 1.157e-03 -1.000 2.610e-03 2.642 3.673 3.561 2.846 2.391 1.978 1.423 0.968 0.904
0.0025572 -0.78000 10.07918 0.8485280275 2.4345860481    0.846  0.894  3.7157  3.286    3  0.000  0.531     0.00     0.00 -1 -8.68e-13      0.00 7.444e-01 2.529e-01 4.600e-04 1.308e-04 1.158e-03 -1.000 2.614e-03 2.534 3.580 3.461 2.742 2.284 1.869 1.310 0.851 0.787
0.0025572 -0.78000 10.07918 0.8489332795 2.4347097874    0.846  0.935  3.7145  3.240    3  0.000  0.527     0.00     0.00 -1 -1.03e-12      0.00 7.429e-01 2.545e-01 4.567e-04 1.341e-04 1.160e-03 -1.000 2.638e-03 2.433 3.492 3.367 2.644 2.184 1.767 1.203 0.741 0.677
0.0025572 -0.78000 10.07918 0.8493154645 2.4348263741    0.846  0.976  3.7133  3.195    3  0.000  0.522     0.00     0.00 -1 -1.23e-12      0.00 7.414e-01 2.559e-01 4.528e-04 1.383e-04 1.161e-03 -1.000 2.673e-03 2.330 3.404 3.273 2.545 2.083 1.663 1.096 0.631 0.566
0.0025572 -0.78000 10.07918 0.8496800065 2.4349374771    0.847  1.018  3.7120  3.148    3  0.000  0.518     0.00     0.00 -1 -1.46e-12      0.00 7.402e-01 2.572e-01 4.488e-04 1.429e-04 1.162e-03 -1.000 2.665e-03 2.225 3.314 3.177 2.444 1.980 1.558 0.986 0.517 0.452
0.0025572 -0.78000 10.07918 0.8500007987 2.4350349903    0.847  1.058  3.7107  3.103    3  0.000  0.514     0.00     0.00 -1 -1.73e-12      0.00 7.391e-01 2.582e-01 4.451e-04 1.474e-04 1.162e-03 -1.000 2.654e-03 2.125 3.229 3.085 2.348 1.881 1.457 0.881 0.407 0.342
0.0025572 -0.78000 10.07918 0.8503059149 2.4351277351    0.847  1.099  3.7093  3.056    3  0.000  0.509     0.00     0.00 -1 -2.05e-12      0.00 7.382e-01 2.592e-01 4.416e-04 1.517e-04 1.163e-03 -1.000 2.655e-03 2.022 3.143 2.992 2.249 1.780 1.353 0.773 0.296 0.230
0.0025572 -0.78000 10.07918 0.8506501913 2.4352324009    0.847  1.149  3.7076  2.999    3  0.000  0.505     0.00     0.00 -1 -2.51e-12      0.00 7.373e-01 2.601e-01 4.381e-04 1.560e-04 1.164e-03 -1.000 2.655e-03 1.896 3.038 2.878 2.129 1.657 1.227 0.641 0.158 0.092
0.0025572 -0.78000 10.07918 0.8509075046 2.4353106022    0.848  1.190  3.7061  2.952    3  0.000  0.503     0.00     0.00 -1 -2.97e-12      0.00 7.367e-01 2.606e-01 4.361e-04 1.586e-04 1.164e-03 -1.000 2.643e-03 1.794 2.957 2.787 2.032 1.556 1.124 0.532 0.045 -0.021
0.0025572 -0.78000 10.07918 0.8512050509 2.4354007244    0.848  1.242  3.7042  2.893    3  0.000  0.501     0.00     0.00 -1 -3.65e-12      0.00 7.362e-01 2.612e-01 4.342e-04 1.610e-04 1.165e-03 -1.000 2.641e-03 1.665 2.854 2.672 1.910 1.430 0.994 0.396 -0.098 -0.165
0.0025572 -0.78000 10.07918 0.8514671922 2.4354803562    0.848  1.292  3.7022  2.835    3  0.000  0.499     0.00     0.00 -1 -4.46e-12      0.00 7.359e-01 2.615e-01 4.330e-04 1.626e-04 1.165e-03 -1.000 2.653e-03 1.540 2.756 2.563 1.792 1.308 0.868 0.263 -0.237 -0.304
0.0025572 -0.78000 10.07918 0.8516983986 2.4355502129    0.848  1.340  3.7002  2.779    3  0.000  0.498     0.00     0.00 -1  -5.4e-12      0.00 7.357e-01 2.616e-01 4.324e-04 1.633e-04 1.165e-03 -1.000 2.648e-03 1.419 2.663 2.457 1.678 1.190 0.747 0.134 -0.372 -0.439
0.0025572 -0.78000 10.07918 0.8519111276 2.4356145859    0.848  1.389  3.6982  2.722    3  0.000  0.498     0.00     0.00 -1 -6.54e-12      0.00 7.357e-01 2.617e-01 4.322e-04 1.635e-04 1.165e-03 -1.000 2.680e-03 1.297 2.571 2.352 1.565 1.073 0.625 0.005 -0.508 -0.576
0.0025572 -0.78000 10.07918 0.8520915508 2.4356691837    0.848  1.434  3.6961  2.669    3  0.000  0.498     0.00     0.00 -1  -7.8e-12      0.00 7.357e-01 2.617e-01 4.322e-04 1.636e-04 1.165e-03 -1.000 2.680e-03 1.185 2.488 2.256 1.461 0.964 0.512 -0.115 -0.635 -0.704
0.0025572 -0.78000 10.07918 0.8522591591 2.4357199669    0.848  1.479  3.6941  2.615    3  0.000  0.498     0.00     0.00 -1 -9.31e-12      0.00 7.356e-01 2.617e-01 4.321e-04 1.637e-04 1.165e-03 -1.000 2.680e-03 1.071 2.404 2.159 1.356 0.854 0.399 -0.236 -0.763 -0.832
0.0025572 -0.78000 10.07918 0.8524119854 2.4357662201    0.848  1.524  3.6920  2.562    3  0.000  0.498     0.00     0.00 -1 -1.11e-11      0.00 7.356e-01 2.617e-01 4.321e-04 1.637e-04 1.165e-03 -1.000 2.681e-03 0.959 2.322 2.064 1.252 0.746 0.286 -0.356 -0.891 -0.960
