# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Jun 12 07:22:59 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00051413 -1.48000 10.14613 0.6729478240 2.3644678593    0.673 -0.252  3.7689  4.546    1  0.000  0.542     0.00     0.00 -1 -6.83e-23      0.00 8.284e-01 1.712e-01 6.695e-05 1.812e-05 1.648e-04 -1.000 3.699e-04 5.401 5.861 6.058 5.531 5.171 4.829 4.416 4.080 4.033
0.00051413 -1.48000 10.14613 0.6817230582 2.3689684868    0.681 -0.204  3.7736  4.522    1  0.000  0.541     0.00     0.00 -1 -6.04e-20      0.00 8.327e-01 1.670e-01 6.555e-05 1.775e-05 1.615e-04 -1.000 3.504e-04 5.281 5.708 5.918 5.408 5.057 4.722 4.319 3.989 3.947
0.00051413 -1.48000 10.14613 0.6902531385 2.3732173443    0.690 -0.155  3.7780  4.496    1  0.000  0.541     0.00     0.00 -1 -4.19e-17      0.00 8.370e-01 1.627e-01 6.413e-05 1.738e-05 1.581e-04 -1.000 3.161e-04 5.158 5.556 5.776 5.283 4.940 4.613 4.219 3.895 3.856
0.00051413 -1.48000 10.14613 0.6975840330 2.3767735958    0.697 -0.111  3.7817  4.471    1  0.000  0.540     0.00     0.00 -1 -1.12e-14      0.00 8.408e-01 1.588e-01 6.285e-05 1.704e-05 1.550e-04 -1.000 3.766e-04 5.047 5.423 5.650 5.170 4.834 4.513 4.127 3.809 3.773
0.00051413 -1.48000 10.14613 0.6999999881 2.3779268265    0.700 -0.096  3.7829  4.462    1  0.000  0.540     0.00     0.00 -1 -7.04e-14      0.00 8.421e-01 1.575e-01 6.241e-05 1.692e-05 1.540e-04 -1.000 4.015e-04 5.010 5.380 5.607 5.132 4.799 4.479 4.096 3.780 3.744
0.00051413 -1.48000 10.14613 0.7009263039 2.3783664703    0.701 -0.090  3.7833  4.459    1  0.000  0.540     0.00     0.00 -1 -7.15e-14      0.00 8.427e-01 1.569e-01 6.222e-05 1.687e-05 1.536e-04 -1.000 4.102e-04 4.996 5.363 5.591 5.117 4.785 4.466 4.084 3.768 3.733
0.00051413 -1.48000 10.14613 0.7089884877 2.3821382523    0.709 -0.037  3.7871  4.426    1  0.000  0.538     0.00     0.00 -1 -3.76e-14      0.00 8.476e-01 1.520e-01 6.054e-05 1.646e-05 1.500e-04 -1.000 3.943e-04 4.863 5.212 5.443 4.982 4.657 4.345 3.970 3.660 3.628
0.00051413 -1.48000 10.14613 0.7165331244 2.3855793476    0.716  0.016  3.7905  4.391    1  0.000  0.537     0.00     0.00 -1 -5.97e-25      0.00 8.521e-01 1.476e-01 5.906e-05 1.609e-05 1.467e-04 -1.000 3.161e-04 4.730 5.064 5.296 4.847 4.529 4.222 3.855 3.550 3.520
0.00051413 -1.48000 10.14613 0.7236379385 2.3887445927    0.723  0.069  3.7934  4.353    1  0.000  0.535     0.00     0.00 -1 -1.75e-22      0.00 8.560e-01 1.436e-01 5.775e-05 1.577e-05 1.439e-04 -1.000 3.649e-04 4.596 4.919 5.149 4.711 4.399 4.097 3.736 3.436 3.408
0.00051413 -1.48000 10.14613 0.7302247882 2.3916161060    0.730  0.123  3.7959  4.314    1  0.000  0.534     0.00     0.00 -1 -3.34e-20      0.00 8.593e-01 1.404e-01 5.670e-05 1.552e-05 1.416e-04 -1.000 3.143e-04 4.463 4.776 5.005 4.575 4.268 3.971 3.615 3.320 3.293
0.00051413 -1.48000 10.14613 0.7363411784 2.3942294121    0.736  0.176  3.7979  4.272    1  0.000  0.532     0.00     0.00 -1 -4.39e-18      0.00 8.615e-01 1.382e-01 5.602e-05 1.536e-05 1.403e-04 -1.000 3.136e-04 4.330 4.638 4.863 4.440 4.137 3.844 3.492 3.201 3.176
0.00051413 -1.48000 10.14613 0.7420548201 2.3966259956    0.741  0.229  3.7992  4.228    1  0.000  0.531     0.00     0.00 -1  -4.2e-16      0.00 8.627e-01 1.369e-01 5.563e-05 1.528e-05 1.396e-04 -1.000 3.126e-04 4.197 4.501 4.722 4.305 4.005 3.715 3.366 3.077 3.052
0.00051413 -1.48000 10.14613 0.7454028726 2.3980107307    0.745  0.263  3.7996  4.198    1  0.000  0.531     0.00     0.00 -1 -6.18e-15      0.00 8.632e-01 1.365e-01 5.548e-05 1.525e-05 1.394e-04 -1.000 3.124e-04 4.113 4.417 4.635 4.220 3.922 3.632 3.284 2.996 2.972
0.00051413 -1.48000 10.14613 0.7469861507 2.3986606598    0.746  0.281  3.7995  4.180    1  0.000  0.530     0.00     0.00 -1 -2.18e-14      0.00 8.635e-01 1.362e-01 5.541e-05 1.524e-05 1.393e-04 -1.000 3.124e-04 4.069 4.373 4.591 4.175 3.877 3.587 3.238 2.950 2.926
0.00051413 -1.48000 10.14613 0.7500000000 2.3998889923    0.749  0.316  3.7986  4.143    1  0.000  0.530     0.00     0.00 -1 -2.05e-13      0.00 8.639e-01 1.358e-01 5.529e-05 1.522e-05 1.391e-04 -1.000 3.127e-04 3.979 4.289 4.503 4.086 3.786 3.495 3.145 2.856 2.831
0.00051413 -1.48000 10.14613 0.7517558932 2.4005994797    0.751  0.337  3.7983  4.122    1  0.000  0.530     0.00     0.00 -1 -1.99e-13      0.00 8.636e-01 1.360e-01 5.541e-05 1.526e-05 1.395e-04 -1.000 3.164e-04 3.928 4.240 4.452 4.034 3.734 3.443 3.092 2.802 2.777
