# The relationship between age and the maximum initial-mass of stars that are alive at that age.
# Values from input_files/CMD3.3*.dat, originally from the PARSEC isochrones model (references are given in CMD3.3*.dat)
#   Read CMD3.3-thin1.dat
# iage Minidie  MRGst        MRGen
505 1.2356524467 1.1946293116 1.2356524467
510 1.2319698334 1.1914200783 1.2319698334
515 1.2283339500 1.1888580322 1.2283339500
520 1.2247438431 1.1859955788 1.2247438431
525 1.2211984396 1.1831673384 1.2211984396
530 1.2176966667 1.1803725958 1.2176966667
535 1.2142375708 1.1776105165 1.2142375708
540 1.2108205557 1.1748806238 1.2108205557
545 1.2074444294 1.1707755327 1.2074444294
550 1.2041084766 1.1681456566 1.2041084766
555 1.2007658482 1.1655454636 1.2007658482
560 1.1972490549 1.1629742384 1.1972490549
565 1.1939527988 1.1604315042 1.1939527988
570 1.1910257339 1.1579166651 1.1910257339
575 1.1881695986 1.1554291248 1.1881695986
580 1.1853450537 1.1529684067 1.1853450537
585 1.1825515032 1.1505340338 1.1825515032
590 1.1797879934 1.1470621824 1.1797879934
595 1.1770542860 1.1447122097 1.1770542860
600 1.1743496656 1.1423733234 1.1743496656
605 1.1716736555 1.1413259506 1.1716736555
610 1.1690257788 1.1388194561 1.1690257788
615 1.1664053202 1.1363389492 1.1664053202
620 1.1638119221 1.1338838339 1.1638119221
625 1.1612451077 1.1314536333 1.1612451077
630 1.1587041616 1.1290479898 1.1587041616
635 1.1562185287 1.1266664267 1.1562185287
640 1.1537826061 1.1243084669 1.1537826061
645 1.1513615847 1.1219737530 1.1513615847
650 1.1489206553 1.1196618080 1.1489206553
655 1.1464670897 1.1173723936 1.1464670897
660 1.1440179348 1.1151049137 1.1440179348
665 1.1415922642 1.1108349562 1.1415922642
670 1.1391900778 1.1086200476 1.1391900778
675 1.1368105412 1.1064260006 1.1368105412
680 1.1344536543 1.1042524576 1.1344536543
685 1.1321188211 1.1020990610 1.1321188211
690 1.1298056841 1.0999654531 1.1298056841
695 1.1275140047 1.0978513956 1.1275140047
700 1.1252431870 1.0957564116 1.1252431870
#   Read CMD3.3-thin7.dat
705 1.1159665585 1.0876746178 1.1159665585
710 1.1137479544 1.0856076479 1.1137479544
715 1.1115657091 1.0835591555 1.1115657091
720 1.1094026566 1.0815287828 1.1094026566
