# I-mag mass-luminocity relation of the PARSEC isochrones model extracted from input_files/CMD3.3*.dat (references therein)
#   Read CMD3.3-thin1.dat
#0.01Gyr     Mini       MIc
    15 4.0490617752 -1.080
    15 4.1001000404 -1.205
    15 4.1446957588 -1.324
    15 4.1871786118 -1.446
    15 4.1999998093 -1.485
    15 4.2153015137 -1.532
    15 4.2519068718 -1.647
    15 4.2688212395 -1.697
    15 4.2843174934 -1.707
    15 4.2902212143 -1.691
    15 4.2926940918 -1.666
    15 4.2939162254 -1.644
    15 4.2946290970 -1.627
    15 4.2950773239 -1.616
    15 4.2953047752 -1.610
    15 4.2954597473 -1.590
    15 4.2955899239 -1.583
    15 4.2957057953 -1.602
    15 4.2958536148 -1.664
    15 4.2960147858 -1.757
    15 4.2961935997 -1.859
    15 4.2963848114 -1.955
    15 4.2965850830 -2.041
    15 4.2967915535 -2.119
    15 4.2970008850 -2.192
    15 4.2972116470 -2.259
    15 4.2974209785 -2.323
    15 4.2976264954 -2.383
    15 4.2978267670 -2.440
    15 4.2980203629 -2.495
    15 4.2982068062 -2.547
    15 4.2983846664 -2.596
    15 4.2985539436 -2.640
    15 4.2987146378 -2.680
    15 4.2988662720 -2.717
    15 4.2990098000 -2.750
    15 4.2991452217 -2.781
    15 4.2992725372 -2.811
    15 4.2993931770 -2.838
    15 4.2995066643 -2.860
    15 4.2996139526 -2.879
    15 4.2997155190 -2.893
    15 4.2998118401 -2.906
    15 4.2999024391 -2.916
    15 4.2999887466 -2.922
    15 4.3000707626 -2.925
    15 4.3001503944 -2.919
    15 4.3002309799 -2.907
    15 4.3003182411 -2.884
    15 4.3004155159 -2.850
    15 4.3005576134 -2.790
    15 4.3006887436 -2.729
    15 4.3008341789 -2.668
    15 4.3009905815 -2.630
    15 4.3010458946 -2.617
    15 4.3012070656 -2.659
    15 4.3013505936 -2.740
    15 4.3014726639 -2.831
    15 4.3015851974 -2.915
    15 4.3017101288 -2.997
    15 4.3019022942 -3.087
    15 4.3019437790 -3.104
    15 4.3021678925 -3.173
    15 4.3022127151 -3.187
    15 4.3022589684 -3.199
    15 4.3026747704 -3.307
    15 4.3030905724 -3.411
    15 4.3035058975 -3.515
    15 4.3038754463 -3.609
    15 4.3042912483 -3.715
    15 4.3047065735 -3.822
    15 4.3051214218 -3.924
    15 4.3055391312 -4.010
    15 4.3064947128 -4.054
    15 4.3099651337 -4.005
    15 4.3140273094 -3.921
    15 4.3166265488 -3.844
    15 4.3187580109 -3.766
    15 4.3209648132 -3.674
    15 4.3228712082 -3.588
    15 4.3246192932 -3.510
    15 4.3265337944 -3.430
    15 4.3286294937 -3.350
    15 4.3310451508 -3.269
    15 4.3339934349 -3.188
    15 4.3392333984 -3.088
    15 4.3491482735 -3.008
    15 4.3525524139 -2.995
    15 4.3560719490 -3.023
    15 4.3607888222 -3.063
    15 4.3645801544 -3.091
    15 4.3873214722 -3.305
    15 4.3949251175 -3.359
    15 4.4000000954 -3.364
    15 4.4312663078 -3.456
    15 4.4568142891 -3.498
    15 4.4691886902 -3.488
    15 4.4779281616 -3.455
    15 4.4845895767 -3.423
    15 4.4933271408 -3.407
    15 4.4990906715 -3.454
    15 4.5005168915 -3.534
    15 4.5008907318 -3.593
    15 4.5010066032 -3.660
    15 4.5011315346 -3.722
    15 4.5014510155 -3.706
    15 4.5021791458 -3.710
    15 4.5025525093 -3.792
    15 4.5029158592 -3.881
    15 4.5033698082 -3.969
    15 4.5039458275 -4.059
    15 4.5046486855 -4.149
    15 4.5054402351 -4.240
    15 4.5062422752 -4.331
    15 4.5070018768 -4.422
    15 4.5076904297 -4.513
    15 4.5083055496 -4.603
    15 4.5088539124 -4.691
    15 4.5093517303 -4.777
    15 4.5098133087 -4.863
    15 4.5102424622 -4.946
    15 4.5106396675 -5.028
    15 4.5110092163 -5.110
    15 4.5113549232 -5.187
    15 4.5116786957 -5.263
    15 4.5119857788 -5.335
    15 4.5122842789 -5.400
    15 4.5125746727 -5.464
    15 4.5128526688 -5.519
    15 4.5130858421 -5.570
    15 4.5132918358 -5.598
    15 4.5134668350 -5.622
    15 4.5136423111 -5.608
    15 4.5138111115 -5.586
    15 4.5139904022 -5.515
    15 4.5143070221 -5.471
    15 4.5143847466 -5.544
    15 4.5144095421 -5.578
    15 4.5144214630 -5.581
    15 4.5144314766 -5.572
    15 4.5144486427 -5.580
    15 4.5144605637 -5.570
    15 4.5144767761 -5.559
    15 4.5145206451 -5.523
    15 4.5145473480 -5.543
    15 4.5145521164 -5.548
    15 4.5145597458 -5.501
    15 4.5145735741 -5.437
    15 4.5145902634 -5.407
    15 4.5146017075 -5.407
    15 4.5146021843 -4.810
    15 4.5146031380 -4.951
    15 4.5146036148 -5.111
    15 4.5146059990 -5.462
    15 4.5146098137 -5.563
    15 4.5146155357 -5.521
    15 4.5146236420 -5.442
    15 4.5146336555 -5.385
    15 4.5146465302 -5.336
    15 4.5146627426 -5.296
    15 4.5146818161 -5.264
    15 4.5146818161 -4.039
    15 4.5146822929 -4.556
    15 4.5146837234 -4.935
    15 4.5146861076 -5.338
    15 4.5146899223 -5.511
    15 4.5146951675 -5.422
    15 4.5147027969 -5.334
    15 4.5147128105 -5.265
    15 4.5147252083 -5.229
    15 4.5147404671 -5.208
    15 4.5147590637 -5.193
    15 4.5147590637 -3.817
    15 4.5147595406 -4.396
    15 4.5147609711 -4.815
    15 4.5147638321 -5.272
    15 4.5147676468 -5.471
    15 4.5147738457 -5.373
    15 4.5147819519 -5.268
    15 4.5147924423 -5.199
    15 4.5148057938 -5.149
    15 4.5148224831 -5.120
    15 4.5148425102 -5.105
    15 4.5148425102 -3.515
    15 4.5148429871 -4.207
    15 4.5148444176 -4.696
    15 4.5148472786 -5.202
    15 4.5148515701 -5.422
    15 4.5148582458 -5.314
    15 4.5148668289 -5.202
    15 4.5148782730 -5.112
    15 4.5148930550 -5.064
    15 4.5149106979 -5.039
    15 4.5149321556 -5.026
    15 4.5149321556 -3.236
    15 4.5149326324 -4.037
    15 4.5149345398 -4.604
    15 4.5149374008 -5.119
    15 4.5149421692 -5.375
    15 4.5149488449 -5.250
    15 4.5149583817 -5.124
    15 4.5149703026 -5.033
    15 4.5149860382 -4.989
    15 4.5150051117 -4.964
    15 4.5150279999 -4.950
    15 4.5150279999 -2.981
    15 4.5150289536 -3.884
    15 4.5150303841 -4.513
    15 4.5150337219 -5.036
    15 4.5150384903 -5.324
    15 4.5150456429 -5.186
    15 4.5150556564 -5.044
    15 4.5150685310 -4.958
    15 4.5150847435 -4.905
    15 4.5151047707 -4.866
    15 4.5151290894 -4.909
    15 4.5151290894 -2.680
    15 4.5151300430 -3.634
    15 4.5151314735 -4.399
    15 4.5151348114 -4.956
    15 4.5151400566 -5.265
    15 4.5151476860 -5.117
    15 4.5151576996 -4.968
    15 4.5151710510 -4.866
    15 4.5151882172 -4.870
    15 4.5152091980 -4.836
    15 4.5152344704 -4.814
    15 4.5152344704 -2.295
    15 4.5152354240 -3.392
    15 4.5152368546 -4.243
    15 4.5152401924 -4.866
    15 4.5152459145 -5.198
    15 4.5152535439 -5.033
    15 4.5152640343 -4.890
    15 4.5152778625 -4.831
    15 4.5152955055 -4.768
    15 4.5153169632 -4.733
    15 4.5153431892 -4.711
    15 4.5153431892 -1.917
    15 4.5153441429 -3.154
    15 4.5153455734 -4.096
    15 4.5153489113 -4.818
    15 4.5153546333 -5.128
    15 4.5153622627 -4.952
    15 4.5153727531 -4.784
    15 4.5153870583 -4.726
    15 4.5154047012 -4.669
    15 4.5154261589 -4.640
    15 4.5154523849 -4.621
    15 4.5154523849 -1.542
    15 4.5154533386 -2.922
    15 4.5154552460 -3.952
    15 4.5154585838 -4.704
    15 4.5154638290 -5.054
    15 4.5154719353 -4.868
    15 4.5154829025 -4.739
    15 4.5154972076 -4.630
