# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
NSD 9 NSD 9.84509804 0.25 0.025095 0.9977447391 0.997 1.059138231 5644.168882 4.384 4.821 4.031 3.528 3.198 3.143
NSD 9 NSD 9.84509804 0.25 0.025095 1 1 1.065252703 5650.670713 4.381 4.804 4.015 3.514 3.186 3.13
NSD 9 NSD 9.84509804 0.25 0.025095 1.009790778 1.009 1.090316652 5679.367868 4.365 4.726 3.948 3.453 3.129 3.075
NSD 9 NSD 9.84509804 0.25 0.025095 1.020653367 1.02 1.118542898 5708.210762 4.346 4.642 3.873 3.384 3.065 3.012
NSD 9 NSD 9.84509804 0.25 0.025095 1.03147769 1.031 1.148292808 5731.918412 4.328 4.56 3.8 3.316 3.002 2.95
NSD 9 NSD 9.84509804 0.25 0.025095 1.041836739 1.041 1.179105445 5751.749985 4.309 4.484 3.731 3.251 2.94 2.889
NSD 9 NSD 9.84509804 0.25 0.025095 1.049999952 1.049 1.206014821 5766.336733 4.294 4.423 3.674 3.197 2.889 2.838
NSD 9 NSD 9.84509804 0.25 0.025095 1.065973997 1.065 1.264598449 5795.621302 4.259 4.293 3.554 3.083 2.78 2.73
NSD 9 NSD 9.84509804 0.25 0.025095 1.070689559 1.07 1.282486035 5804.970272 4.249 4.254 3.518 3.048 2.746 2.697
NSD 9 NSD 9.84509804 0.25 0.025095 1.082547307 1.081 1.334604684 5819.69199 4.219 4.154 3.423 2.957 2.657 2.609
NSD 9 NSD 9.84509804 0.25 0.025095 1.094849467 1.093 1.394609582 5829.079789 4.186 4.049 3.322 2.857 2.559 2.511
NSD 9 NSD 9.84509804 0.25 0.025095 1.100000024 1.099 1.423156448 5830.422138 4.17 4.004 3.278 2.813 2.515 2.467
NSD 9 NSD 9.84509804 0.25 0.025095 1.103123665 1.102 1.44129422 5830.422138 4.16 3.976 3.25 2.785 2.488 2.439
NSD 9 NSD 9.84509804 0.25 0.025095 1.113268733 1.112 1.505749213 5823.713479 4.126 3.886 3.159 2.692 2.394 2.345
NSD 9 NSD 9.84509804 0.25 0.025095 1.116366982 1.115 1.527047846 5819.69199 4.115 3.859 3.13 2.663 2.364 2.315
NSD 9 NSD 9.84509804 0.25 0.025095 1.119256258 1.118 1.550074761 5812.995677 4.103 3.833 3.102 2.634 2.334 2.284
NSD 9 NSD 9.84509804 0.25 0.025095 1.126973033 1.125 1.61455426 5791.619211 4.071 3.765 3.028 2.555 2.251 2.201
NSD 9 NSD 9.84509804 0.25 0.025095 1.135060191 1.133 1.693373054 5750.425748 4.032 3.698 2.949 2.467 2.156 2.104
NSD 9 NSD 9.84509804 0.25 0.025095 1.143507361 1.142 1.799503289 5662.39289 3.982 3.65 2.872 2.371 2.045 1.99
NSD 9 NSD 9.84509804 0.25 0.025095 1.149999976 1.148 1.900870999 5547.53435 3.937 3.646 2.831 2.304 1.954 1.895
NSD 9 NSD 9.84509804 0.25 0.025095 1.150893211 1.149 1.917134775 5527.134079 3.93 3.648 2.827 2.294 1.941 1.881
NSD 9 NSD 9.84509804 0.25 0.025095 1.154247046 1.153 1.993667113 5388.898454 3.898 3.71 2.842 2.276 1.894 1.828
NSD 9 NSD 9.84509804 0.25 0.025095 1.156393528 1.155 2.056613323 5266.232149 3.872 3.78 2.869 2.27 1.862 1.792
NSD 9 NSD 9.84509804 0.25 0.025095 1.157750368 1.156 2.107912818 5180.837851 3.851 3.826 2.884 2.262 1.834 1.76
NSD 9 NSD 9.84509804 0.25 0.025095 1.158736348 1.157 2.15254701 5117.996682 3.833 3.856 2.89 2.25 1.807 1.73
NSD 9 NSD 9.84509804 0.25 0.025095 1.15969944 1.158 2.211325351 5064.073495 3.81 3.866 2.878 2.222 1.766 1.687
