# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
bar 8 bar 9.95424 -0.5 0.0048313 0.9603720903 0.958 5.823078501 4948.801109 2.886 1.9 0.924 0.23 -0.277 -0.353
bar 8 bar 9.95424 -0.5 0.0048313 0.9607125521 0.958 6.228057949 4924.929296 2.828 1.784 0.799 0.097 -0.417 -0.494
bar 8 bar 9.95424 -0.5 0.0048313 0.9610299468 0.958 6.67502113 4898.916081 2.768 1.666 0.671 -0.04 -0.561 -0.639
bar 8 bar 9.95424 -0.5 0.0048313 0.9612989426 0.958 7.126112017 4874.162454 2.711 1.558 0.553 -0.166 -0.695 -0.774
bar 8 bar 9.95424 -0.5 0.0048313 0.9615508318 0.958 7.611191426 4848.417387 2.654 1.448 0.433 -0.295 -0.831 -0.912
bar 8 bar 9.95424 -0.5 0.0048313 0.9617851377 0.958 8.146154541 4820.58783 2.595 1.337 0.311 -0.425 -0.97 -1.052
bar 8 bar 9.95424 -0.5 0.0048313 0.9619989991 0.958 8.704676684 4794.021749 2.537 1.228 0.191 -0.554 -1.107 -1.19
bar 8 bar 9.95424 -0.5 0.0048313 0.9621940851 0.958 9.310063537 4765.407017 2.479 1.123 0.074 -0.681 -1.242 -1.326
bar 8 bar 9.95424 -0.5 0.0048313 0.9623779058 0.958 9.941516665 4738.053933 2.422 1.019 -0.043 -0.807 -1.376 -1.461
bar 8 bar 9.95424 -0.5 0.0048313 0.9625589848 0.958 10.57432477 4711.942694 2.369 0.922 -0.152 -0.925 -1.501 -1.588
bar 8 bar 9.95424 -0.5 0.0048313 0.9627661705 0.958 11.10075825 4692.453741 2.326 0.844 -0.24 -1.018 -1.601 -1.688
bar 8 bar 9.95424 -0.5 0.0048313 0.9628658891 0.958 10.85557032 4704.354057 2.346 0.875 -0.203 -0.978 -1.557 -1.644
bar 8 bar 9.95424 -0.5 0.0048313 0.9629650116 0.958 10.32886604 4729.334149 2.388 0.946 -0.12 -0.887 -1.458 -1.544
bar 8 bar 9.95424 -0.5 0.0048313 0.9629912376 0.958 10.2059314 4735.872481 2.399 0.964 -0.099 -0.863 -1.433 -1.518
bar 8 bar 9.95424 -0.5 0.0048313 0.9630220532 0.958 10.35267653 4729.334149 2.386 0.941 -0.125 -0.891 -1.463 -1.548
bar 8 bar 9.95424 -0.5 0.0048313 0.9631541967 0.958 11.01672845 4702.188121 2.332 0.845 -0.235 -1.01 -1.589 -1.677
bar 8 bar 9.95424 -0.5 0.0048313 0.9632858634 0.958 11.76122734 4673.045396 2.276 0.745 -0.348 -1.133 -1.721 -1.809
bar 8 bar 9.95424 -0.5 0.0048313 0.9634059072 0.958 12.52716059 4644.083289 2.221 0.65 -0.458 -1.252 -1.848 -1.938
bar 8 bar 9.95424 -0.5 0.0048313 0.9635201693 0.958 13.37373289 4615.300681 2.164 0.553 -0.57 -1.374 -1.978 -2.07
bar 8 bar 9.95424 -0.5 0.0048313 0.9636216164 0.958 14.22828792 4586.696458 2.11 0.46 -0.677 -1.491 -2.103 -2.197
bar 8 bar 9.95424 -0.5 0.0048313 0.9637175798 0.957 15.16186568 4557.220056 2.055 0.367 -0.785 -1.609 -2.231 -2.326
bar 8 bar 9.95424 -0.5 0.0048313 0.9638030529 0.957 16.11211841 4528.975799 2.002 0.28 -0.888 -1.723 -2.354 -2.451
bar 8 bar 9.95424 -0.5 0.0048313 0.9638832211 0.957 17.14954669 4499.870339 1.948 0.189 -0.992 -1.838 -2.475 -2.575
bar 8 bar 9.95424 -0.5 0.0048313 0.9639577866 0.957 18.25377298 4470.951925 1.893 0.098 -1.097 -1.954 -2.596 -2.7
bar 8 bar 9.95424 -0.5 0.0048313 0.9640247226 0.956 19.41568176 4441.196614 1.84 0.012 -1.197 -2.066 -2.714 -2.821
bar 8 bar 9.95424 -0.5 0.0048313 0.9640880227 0.956 20.65154961 4411.639332 1.786 -0.076 -1.299 -2.18 -2.834 -2.945
bar 8 bar 9.95424 -0.5 0.0048313 0.9641444087 0.955 21.93070762 4383.287934 1.733 -0.16 -1.397 -2.29 -2.949 -3.065
bar 8 bar 9.95424 -0.5 0.0048313 0.964197576 0.955 23.32666459 4354.116049 1.68 -0.245 -1.495 -2.402 -3.066 -3.186
bar 8 bar 9.95424 -0.5 0.0048313 0.9642456174 0.954 24.74301651 4326.134325 1.628 -0.326 -1.59 -2.509 -3.179 -3.303
bar 8 bar 9.95424 -0.5 0.0048313 0.9642906785 0.954 26.29981205 4296.353426 1.575 -0.407 -1.685 -2.618 -3.293 -3.422
bar 8 bar 9.95424 -0.5 0.0048313 0.9643316865 0.953 27.90953783 4267.760112 1.523 -0.486 -1.778 -2.724 -3.405 -3.54
bar 8 bar 9.95424 -0.5 0.0048313 0.9643697143 0.952 29.61778968 4239.357093 1.471 -0.56 -1.87 -2.831 -3.52 -3.658
bar 8 bar 9.95424 -0.5 0.0048313 0.9644058347 0.952 31.48129905 4210.173564 1.418 -0.634 -1.966 -2.94 -3.638 -3.781
bar 8 bar 9.95424 -0.5 0.0048313 0.9644377828 0.951 33.38509719 4181.190933 1.367 -0.703 -2.056 -3.044 -3.751 -3.898
bar 8 bar 9.95424 -0.5 0.0048313 0.9644678235 0.95 35.38772509 4153.364055 1.315 -0.772 -2.147 -3.148 -3.865 -4.016
bar 8 bar 9.95424 -0.5 0.0048313 0.9644958377 0.949 37.5277602 4124.772498 1.264 -0.839 -2.237 -3.251 -3.978 -4.133
bar 8 bar 9.95424 -0.5 0.0048313 0.9645212293 0.948 39.68739968 4097.321098 1.215 -0.903 -2.324 -3.352 -4.088 -4.247
bar 8 bar 9.95424 -0.5 0.0048313 0.9645454884 0.947 42.06807552 4070.052394 1.164 -0.968 -2.412 -3.454 -4.2 -4.363
bar 8 bar 9.95424 -0.5 0.0048313 0.9645674825 0.946 44.50949274 4042.034351 1.114 -1.027 -2.496 -3.553 -4.308 -4.475
bar 8 bar 9.95424 -0.5 0.0048313 0.9645881057 0.945 47.07091547 4015.133594 1.065 -1.086 -2.58 -3.651 -4.416 -4.588
bar 8 bar 9.95424 -0.5 0.0048313 0.9646078944 0.943 49.86004256 3987.493609 1.014 -1.146 -2.666 -3.751 -4.526 -4.702
bar 8 bar 9.95424 -0.5 0.0048313 0.9646297097 0.942 53.38910553 3954.576671 0.955 -1.211 -2.766 -3.869 -4.655 -4.838
bar 8 bar 9.95424 -0.5 0.0048313 0.9646498561 0.94 57.12847681 3921.028509 0.895 -1.272 -2.865 -3.987 -4.784 -4.973
bar 8 bar 9.95424 -0.5 0.0048313 0.9646652341 0.938 60.37437457 3894.036339 0.846 -1.323 -2.945 -4.082 -4.889 -5.082
bar 8 bar 9.95424 -0.5 0.0048313 0.9646826386 0.936 64.49895003 3861.890894 0.788 -1.377 -3.04 -4.197 -5.015 -5.215
bar 8 bar 9.95424 -0.5 0.0048313 0.9646985531 0.933 68.82601818 3830.010812 0.73 -1.428 -3.133 -4.309 -5.138 -5.344
bar 8 bar 9.95424 -0.5 0.0048313 0.9647132158 0.931 73.3926628 3797.51939 0.673 -1.476 -3.224 -4.42 -5.259 -5.472
bar 8 bar 9.95424 -0.5 0.0048313 0.9647267461 0.928 78.226274 3766.170697 0.616 -1.513 -3.312 -4.529 -5.379 -5.598
bar 8 bar 9.95424 -0.5 0.0048313 0.9647393823 0.924 83.32064914 3734.220854 0.56 -1.548 -3.399 -4.637 -5.497 -5.723
bar 8 bar 9.95424 -0.5 0.0048313 0.9647509456 0.921 88.60386054 3703.394694 0.505 -1.575 -3.482 -4.741 -5.612 -5.844
bar 8 bar 9.95424 -0.5 0.0048313 0.964761734 0.917 94.15700697 3671.977404 0.45 -1.589 -3.563 -4.847 -5.726 -5.965
bar 8 bar 9.95424 -0.5 0.0048313 0.9647715688 0.913 99.94306059 3640.826638 0.396 -1.598 -3.639 -4.948 -5.837 -6.081
bar 8 bar 9.95424 -0.5 0.0048313 0.9647807479 0.909 105.9626095 3609.940136 0.343 -1.593 -3.712 -5.048 -5.945 -6.195
bar 8 bar 9.95424 -0.5 0.0048313 0.9647892118 0.904 112.163782 3580.139918 0.291 -1.58 -3.781 -5.145 -6.05 -6.307
bar 8 bar 9.95424 -0.5 0.0048313 0.9647974968 0.899 118.9741594 3548.950974 0.239 -1.566 -3.851 -5.244 -6.157 -6.42
bar 8 bar 9.95424 -0.5 0.0048313 0.9648050666 0.894 125.5893015 3520.464749 0.188 -1.529 -3.911 -5.338 -6.258 -6.527
bar 8 bar 9.95424 -0.5 0.0048313 0.9648134708 0.887 133.2148515 3489.795674 0.134 -1.487 -3.974 -5.437 -6.364 -6.641
bar 8 bar 9.95424 -0.5 0.0048313 0.9648134708 0.887 133.2148515 3489.795674 0.134 0.706 -0.25 -5.437 -6.364 -6.641
bar 8 bar 9.95424 -0.5 0.0048313 0.9648998976 0.887 9.98970457 4980.810284 2.384 0.683 -0.277 -0.965 -1.463 -1.537
bar 8 bar 9.95424 -0.5 0.0048313 0.9649927616 0.887 10.04506254 4978.517064 2.379 0.673 -0.288 -0.976 -1.475 -1.549
bar 8 bar 9.95424 -0.5 0.0048313 0.9650783539 0.887 10.05894989 4980.810284 2.379 0.67 -0.29 -0.978 -1.477 -1.551
bar 8 bar 9.95424 -0.5 0.0048313 0.9651648402 0.887 10.03350439 4984.252094 2.381 0.669 -0.289 -0.976 -1.473 -1.547
bar 8 bar 9.95424 -0.5 0.0048313 0.9652503729 0.888 9.998909667 4989.993731 2.384 0.67 -0.286 -0.971 -1.466 -1.54
bar 8 bar 9.95424 -0.5 0.0048313 0.9653359652 0.888 9.948386393 4996.892426 2.388 0.672 -0.282 -0.965 -1.459 -1.532
bar 8 bar 9.95424 -0.5 0.0048313 0.9654228687 0.888 9.90267771 5002.648624 2.392 0.674 -0.277 -0.959 -1.451 -1.524
bar 8 bar 9.95424 -0.5 0.0048313 0.9655101895 0.888 9.863990489 5009.564815 2.396 0.676 -0.273 -0.952 -1.443 -1.516
bar 8 bar 9.95424 -0.5 0.0048313 0.9655965567 0.888 9.823192275 5014.18092 2.399 0.678 -0.269 -0.947 -1.436 -1.509
bar 8 bar 9.95424 -0.5 0.0048313 0.9656852484 0.888 9.789322696 5019.957034 2.402 0.679 -0.266 -0.942 -1.43 -1.502
